po_id,order_date,supplier_id,material_id,plant_id,order_qty,unit_of_measure,unit_price_usd,po_value_usd,promised_delivery_date,po_status
PO-1044,2025-02-03,SUP-001,MAT-101,PLT-01,540,MT,54.39,29370.6,2025-02-18,Closed
PO-1045,2025-02-15,SUP-001,MAT-101,PLT-01,453,MT,53.76,24353.28,2025-03-13,Closed
PO-1046,2025-02-06,SUP-002,MAT-102,PLT-05,597,MT,313.95,187428.15,2025-02-18,Closed
PO-1047,2025-02-13,SUP-002,MAT-102,PLT-01,80,MT,311.86,24948.8,2025-02-26,Closed
PO-1048,2025-02-12,SUP-003,MAT-103,PLT-06,197,MT,48.05,9465.85,2025-02-22,Closed
PO-1049,2025-02-06,SUP-003,MAT-103,PLT-05,154,MT,47.86,7370.44,2025-02-17,Closed
PO-1050,2025-02-10,SUP-003,MAT-103,PLT-01,245,MT,48.19,11806.55,2025-03-10,Closed
PO-1051,2025-02-11,SUP-004,MAT-104,PLT-02,132,MT,41.78,5514.96,2025-03-03,Closed
PO-1052,2025-02-03,SUP-004,MAT-104,PLT-04,439,MT,42.01,18442.39,2025-02-15,Closed
PO-1053,2025-02-12,SUP-005,MAT-105,PLT-06,592,MT,30.82,18245.44,2025-03-07,Closed
PO-1054,2025-02-15,SUP-005,MAT-105,PLT-02,328,MT,31.12,10207.36,2025-03-20,Closed
PO-1055,2025-02-14,SUP-006,MAT-102,PLT-05,382,MT,320.2,122316.4,2025-03-18,Closed
PO-1056,2025-02-05,SUP-006,MAT-102,PLT-04,353,MT,320.41,113104.73,2025-02-24,Closed
PO-1057,2025-02-15,SUP-006,MAT-102,PLT-03,312,MT,320.24,99914.88,2025-02-28,Closed
PO-1058,2025-02-20,SUP-006,MAT-102,PLT-04,504,MT,318.36,160453.44,2025-03-03,Closed
PO-1059,2025-02-11,SUP-007,MAT-101,PLT-06,582,MT,57.09,33226.38,2025-03-16,Closed
PO-1060,2025-02-20,SUP-007,MAT-101,PLT-04,302,MT,57.05,17229.1,2025-03-12,Closed
PO-1061,2025-02-13,SUP-007,MAT-101,PLT-03,471,MT,56.33,26531.43,2025-03-06,Closed
PO-1062,2025-02-01,SUP-008,MAT-106,PLT-05,218,MT,215.61,47002.98,2025-02-16,Closed
PO-1063,2025-02-03,SUP-008,MAT-106,PLT-01,398,MT,217.77,86672.46,2025-03-01,Closed
PO-1064,2025-02-08,SUP-008,MAT-106,PLT-04,592,MT,217.54,128783.68,2025-02-28,Closed
PO-1065,2025-02-04,SUP-009,MAT-107,PLT-03,277,KG,157.69,43680.13,2025-03-10,Closed
PO-1066,2025-02-02,SUP-009,MAT-107,PLT-01,1448,KG,155.34,224932.32,2025-02-25,Closed
PO-1067,2025-02-04,SUP-010,MAT-103,PLT-05,368,MT,49.68,18282.24,2025-02-19,Closed
PO-1068,2025-02-06,SUP-010,MAT-103,PLT-02,596,MT,49.07,29245.72,2025-02-28,Closed
PO-1069,2025-02-19,SUP-010,MAT-103,PLT-04,209,MT,49.48,10341.32,2025-03-04,Closed
PO-1070,2025-02-13,SUP-010,MAT-103,PLT-02,381,MT,49.45,18840.45,2025-03-02,Closed
PO-1071,2025-02-09,SUP-011,MAT-105,PLT-05,206,MT,32.15,6622.9,2025-03-12,Closed
PO-1072,2025-02-20,SUP-011,MAT-105,PLT-01,388,MT,32.1,12454.8,2025-03-26,Closed
PO-1073,2025-02-17,SUP-012,MAT-110,PLT-02,674,KG,7.93,5344.82,2025-03-09,Closed
PO-1074,2025-02-11,SUP-012,MAT-110,PLT-01,484,KG,7.96,3852.64,2025-03-14,Closed
PO-1075,2025-02-08,SUP-012,MAT-110,PLT-01,541,KG,7.97,4311.77,2025-03-06,Closed
PO-1076,2025-02-19,SUP-012,MAT-109,PLT-05,523,EA,21.91,11458.93,2025-03-18,Closed
PO-1077,2025-02-07,SUP-013,MAT-101,PLT-03,343,MT,59.26,20326.18,2025-02-19,Closed
PO-1078,2025-02-03,SUP-013,MAT-101,PLT-04,257,MT,59.07,15180.99,2025-03-08,Closed
PO-1079,2025-02-14,SUP-013,MAT-101,PLT-04,343,MT,59.74,20490.82,2025-03-19,Closed
PO-1080,2025-02-16,SUP-014,MAT-104,PLT-02,230,MT,42.07,9676.1,2025-03-16,Closed
PO-1081,2025-02-09,SUP-014,MAT-104,PLT-04,340,MT,42.3,14382.0,2025-02-20,Closed
PO-1082,2025-02-14,SUP-014,MAT-104,PLT-02,237,MT,42.25,10013.25,2025-03-18,Closed
PO-1083,2025-02-11,SUP-014,MAT-104,PLT-01,438,MT,42.41,18575.58,2025-03-06,Closed
PO-1084,2025-03-06,SUP-001,MAT-101,PLT-06,113,MT,53.58,6054.54,2025-03-27,Closed
PO-1085,2025-03-13,SUP-001,MAT-101,PLT-06,247,MT,53.89,13310.83,2025-04-16,Closed
PO-1086,2025-03-04,SUP-002,MAT-102,PLT-04,442,MT,311.97,137890.74,2025-04-01,Closed
PO-1087,2025-03-15,SUP-002,MAT-102,PLT-03,306,MT,316.4,96818.4,2025-04-17,Closed
PO-1088,2025-03-02,SUP-002,MAT-102,PLT-05,561,MT,312.6,175368.6,2025-04-01,Closed
PO-1089,2025-03-18,SUP-003,MAT-103,PLT-02,104,MT,47.52,4942.08,2025-04-01,Closed
PO-1090,2025-03-08,SUP-003,MAT-103,PLT-01,91,MT,48.25,4390.75,2025-04-07,Closed
PO-1091,2025-03-10,SUP-003,MAT-103,PLT-03,568,MT,48.41,27496.88,2025-04-04,Closed
PO-1092,2025-03-18,SUP-003,MAT-103,PLT-01,577,MT,48.33,27886.41,2025-04-16,Closed
PO-1093,2025-03-05,SUP-004,MAT-104,PLT-03,267,MT,41.87,11179.29,2025-03-25,Closed
PO-1094,2025-03-12,SUP-004,MAT-104,PLT-01,95,MT,41.6,3952.0,2025-03-23,Closed
PO-1095,2025-03-17,SUP-004,MAT-104,PLT-03,118,MT,41.98,4953.64,2025-04-16,Closed
PO-1096,2025-03-03,SUP-005,MAT-105,PLT-04,468,MT,30.81,14419.08,2025-03-25,Closed
PO-1097,2025-03-04,SUP-005,MAT-105,PLT-05,478,MT,31.17,14899.26,2025-03-25,Closed
PO-1098,2025-03-08,SUP-005,MAT-105,PLT-02,232,MT,31.1,7215.2,2025-04-06,Closed
PO-1099,2025-03-05,SUP-005,MAT-105,PLT-02,585,MT,31.18,18240.3,2025-04-05,Closed
PO-1100,2025-03-17,SUP-006,MAT-102,PLT-02,498,MT,322.54,160624.92,2025-04-19,Closed
PO-1101,2025-03-03,SUP-006,MAT-102,PLT-06,436,MT,317.08,138246.88,2025-03-21,Closed
PO-1102,2025-03-15,SUP-006,MAT-102,PLT-03,305,MT,318.46,97130.3,2025-03-30,Closed
PO-1103,2025-03-06,SUP-006,MAT-102,PLT-03,119,MT,321.9,38306.1,2025-04-08,Closed
PO-1104,2025-03-10,SUP-007,MAT-101,PLT-05,110,MT,56.35,6198.5,2025-03-30,Closed
PO-1105,2025-03-17,SUP-007,MAT-101,PLT-02,303,MT,56.79,17207.37,2025-04-04,Closed
PO-1106,2025-03-02,SUP-007,MAT-101,PLT-06,534,MT,57.13,30507.42,2025-03-26,Closed
PO-1107,2025-03-18,SUP-007,MAT-101,PLT-06,101,MT,57.19,5776.19,2025-04-14,Closed
PO-1108,2025-03-19,SUP-008,MAT-106,PLT-05,112,MT,217.07,24311.84,2025-04-08,Closed
PO-1109,2025-03-15,SUP-008,MAT-106,PLT-05,236,MT,215.17,50780.12,2025-04-07,Closed
PO-1110,2025-03-06,SUP-008,MAT-106,PLT-05,382,MT,215.35,82263.7,2025-04-03,Closed
PO-1111,2025-03-08,SUP-008,MAT-106,PLT-01,350,MT,215.06,75271.0,2025-03-31,Closed
PO-1112,2025-03-15,SUP-009,MAT-108,PLT-04,1098,KG,171.2,187977.6,2025-04-18,Closed
PO-1113,2025-03-08,SUP-009,MAT-108,PLT-01,316,KG,174.35,55094.6,2025-03-28,Closed
PO-1114,2025-03-09,SUP-010,MAT-103,PLT-06,90,MT,49.66,4469.4,2025-03-26,Closed
PO-1115,2025-03-01,SUP-010,MAT-103,PLT-06,165,MT,49.7,8200.5,2025-03-20,Closed
PO-1116,2025-03-02,SUP-010,MAT-103,PLT-01,195,MT,49.5,9652.5,2025-03-17,Closed
PO-1117,2025-03-06,SUP-010,MAT-103,PLT-03,396,MT,49.01,19407.96,2025-03-24,Closed
PO-1118,2025-03-20,SUP-011,MAT-105,PLT-03,462,MT,32.43,14982.66,2025-04-14,Closed
PO-1119,2025-03-14,SUP-011,MAT-105,PLT-05,322,MT,32.55,10481.1,2025-03-27,Closed
PO-1120,2025-03-15,SUP-011,MAT-105,PLT-04,114,MT,32.6,3716.4,2025-03-25,Closed
PO-1121,2025-03-18,SUP-011,MAT-105,PLT-04,443,MT,32.41,14357.63,2025-04-13,Closed
PO-1122,2025-03-12,SUP-012,MAT-109,PLT-02,345,EA,22.05,7607.25,2025-03-24,Closed
PO-1123,2025-03-05,SUP-012,MAT-110,PLT-06,574,KG,8.0,4592.0,2025-03-20,Closed
PO-1124,2025-03-02,SUP-012,MAT-110,PLT-02,1090,KG,8.03,8752.7,2025-03-14,Closed
PO-1125,2025-03-10,SUP-013,MAT-101,PLT-03,349,MT,59.76,20856.24,2025-03-31,Closed
PO-1126,2025-03-17,SUP-013,MAT-101,PLT-03,283,MT,59.74,16906.42,2025-04-19,Closed
PO-1127,2025-03-06,SUP-013,MAT-101,PLT-05,80,MT,59.88,4790.4,2025-03-20,Closed
PO-1128,2025-03-07,SUP-014,MAT-104,PLT-03,205,MT,42.01,8612.05,2025-04-09,Closed
PO-1129,2025-03-06,SUP-014,MAT-104,PLT-02,420,MT,42.39,17803.8,2025-03-20,Closed
PO-1130,2025-03-19,SUP-014,MAT-104,PLT-01,424,MT,42.27,17922.48,2025-04-13,Closed
PO-1131,2025-04-02,SUP-001,MAT-101,PLT-05,238,MT,53.71,12782.98,2025-04-17,Closed
PO-1132,2025-04-15,SUP-001,MAT-101,PLT-05,410,MT,53.75,22037.5,2025-04-25,Closed
PO-1133,2025-04-03,SUP-002,MAT-102,PLT-01,384,MT,310.49,119228.16,2025-04-24,Closed
PO-1134,2025-04-06,SUP-002,MAT-102,PLT-03,164,MT,315.61,51760.04,2025-05-06,Closed
PO-1135,2025-04-13,SUP-003,MAT-103,PLT-06,577,MT,47.71,27528.67,2025-05-13,Closed
PO-1136,2025-04-04,SUP-003,MAT-103,PLT-04,220,MT,48.02,10564.4,2025-04-29,Closed
PO-1137,2025-04-07,SUP-003,MAT-103,PLT-05,169,MT,47.69,8059.61,2025-04-28,Closed
PO-1138,2025-04-20,SUP-003,MAT-103,PLT-02,524,MT,47.6,24942.4,2025-05-03,Closed
PO-1139,2025-04-09,SUP-004,MAT-104,PLT-06,197,MT,42.12,8297.64,2025-04-27,Closed
PO-1140,2025-04-19,SUP-004,MAT-104,PLT-02,372,MT,41.94,15601.68,2025-05-02,Closed
PO-1141,2025-04-01,SUP-004,MAT-104,PLT-01,562,MT,42.03,23620.86,2025-05-03,Closed
PO-1142,2025-04-02,SUP-004,MAT-104,PLT-02,156,MT,42.08,6564.48,2025-04-14,Closed
PO-1143,2025-04-10,SUP-005,MAT-105,PLT-04,381,MT,31.06,11833.86,2025-04-26,Closed
PO-1144,2025-04-02,SUP-005,MAT-105,PLT-06,504,MT,30.64,15442.56,2025-04-16,Closed
PO-1145,2025-04-12,SUP-005,MAT-105,PLT-02,338,MT,30.82,10417.16,2025-04-23,Closed
PO-1146,2025-04-16,SUP-005,MAT-105,PLT-02,525,MT,30.81,16175.25,2025-05-07,Closed
PO-1147,2025-04-20,SUP-006,MAT-102,PLT-05,327,MT,318.45,104133.15,2025-05-05,Closed
PO-1148,2025-04-14,SUP-006,MAT-102,PLT-04,579,MT,318.74,184550.46,2025-04-27,Closed
PO-1149,2025-04-06,SUP-006,MAT-102,PLT-01,259,MT,321.83,83353.97,2025-04-18,Closed
PO-1150,2025-04-10,SUP-007,MAT-101,PLT-02,508,MT,56.99,28950.92,2025-05-03,Closed
PO-1151,2025-04-14,SUP-007,MAT-101,PLT-05,209,MT,56.73,11856.57,2025-05-13,Closed
PO-1152,2025-04-03,SUP-007,MAT-101,PLT-06,317,MT,56.54,17923.18,2025-04-15,Closed
PO-1153,2025-04-11,SUP-008,MAT-106,PLT-06,526,MT,216.93,114105.18,2025-04-22,Closed
PO-1154,2025-04-09,SUP-008,MAT-106,PLT-06,332,MT,215.2,71446.4,2025-05-11,Closed
PO-1155,2025-04-20,SUP-009,MAT-108,PLT-04,1019,KG,172.89,176174.91,2025-05-03,Closed
PO-1156,2025-04-06,SUP-009,MAT-107,PLT-06,1406,KG,156.84,220517.04,2025-04-30,Closed
PO-1157,2025-04-18,SUP-010,MAT-103,PLT-05,321,MT,49.88,16011.48,2025-05-02,Closed
PO-1158,2025-04-10,SUP-010,MAT-103,PLT-04,306,MT,49.09,15021.54,2025-05-02,Closed
PO-1159,2025-04-18,SUP-011,MAT-105,PLT-02,108,MT,32.38,3497.04,2025-05-05,Closed
PO-1160,2025-04-12,SUP-011,MAT-105,PLT-05,546,MT,32.37,17674.02,2025-04-22,Closed
PO-1161,2025-04-11,SUP-012,MAT-110,PLT-05,565,KG,8.04,4542.6,2025-05-10,Closed
PO-1162,2025-04-08,SUP-012,MAT-110,PLT-04,1446,KG,8.08,11683.68,2025-05-12,Closed
PO-1163,2025-04-10,SUP-013,MAT-101,PLT-02,198,MT,58.99,11680.02,2025-05-10,Closed
PO-1164,2025-04-02,SUP-013,MAT-101,PLT-05,239,MT,58.9,14077.1,2025-04-22,Closed
PO-1165,2025-04-19,SUP-014,MAT-104,PLT-01,493,MT,41.59,20503.87,2025-05-12,Closed
PO-1166,2025-04-12,SUP-014,MAT-104,PLT-05,381,MT,41.85,15944.85,2025-05-02,Closed
PO-1167,2025-04-18,SUP-014,MAT-104,PLT-05,542,MT,42.0,22764.0,2025-05-12,Closed
PO-1168,2025-05-07,SUP-001,MAT-101,PLT-06,98,MT,54.05,5296.9,2025-05-28,Closed
PO-1169,2025-05-04,SUP-001,MAT-101,PLT-04,340,MT,53.56,18210.4,2025-05-21,Closed
PO-1170,2025-05-13,SUP-001,MAT-101,PLT-03,145,MT,53.96,7824.2,2025-05-31,Closed
PO-1171,2025-05-04,SUP-001,MAT-101,PLT-04,149,MT,53.84,8022.16,2025-05-28,Closed
PO-1172,2025-05-13,SUP-002,MAT-102,PLT-05,281,MT,312.97,87944.57,2025-06-11,Closed
PO-1173,2025-05-19,SUP-002,MAT-102,PLT-06,241,MT,314.47,75787.27,2025-06-14,Closed
PO-1174,2025-05-01,SUP-002,MAT-102,PLT-05,429,MT,312.78,134182.62,2025-05-28,Closed
PO-1175,2025-05-11,SUP-003,MAT-103,PLT-03,478,MT,48.07,22977.46,2025-05-27,Closed
PO-1176,2025-05-19,SUP-003,MAT-103,PLT-06,505,MT,48.33,24406.65,2025-06-02,Closed
PO-1177,2025-05-18,SUP-003,MAT-103,PLT-02,339,MT,47.94,16251.66,2025-05-30,Closed
PO-1178,2025-05-07,SUP-003,MAT-103,PLT-01,487,MT,47.78,23268.86,2025-05-19,Closed
PO-1179,2025-05-11,SUP-004,MAT-104,PLT-05,307,MT,41.87,12854.09,2025-06-14,Closed
PO-1180,2025-05-05,SUP-004,MAT-104,PLT-05,505,MT,41.8,21109.0,2025-06-04,Closed
PO-1181,2025-05-04,SUP-005,MAT-105,PLT-05,504,MT,30.65,15447.6,2025-05-23,Closed
PO-1182,2025-05-09,SUP-005,MAT-105,PLT-05,433,MT,31.02,13431.66,2025-05-25,Closed
PO-1183,2025-05-02,SUP-006,MAT-102,PLT-02,101,MT,319.76,32295.76,2025-05-21,Closed
PO-1184,2025-05-07,SUP-006,MAT-102,PLT-06,322,MT,317.85,102347.7,2025-06-06,Closed
PO-1185,2025-05-17,SUP-007,MAT-101,PLT-03,460,MT,56.17,25838.2,2025-05-28,Closed
PO-1186,2025-05-12,SUP-007,MAT-101,PLT-03,386,MT,56.2,21693.2,2025-05-31,Closed
PO-1187,2025-05-15,SUP-007,MAT-101,PLT-05,151,MT,57.09,8620.59,2025-06-09,Closed
PO-1188,2025-05-11,SUP-008,MAT-106,PLT-05,338,MT,216.33,73119.54,2025-05-28,Closed
PO-1189,2025-05-19,SUP-008,MAT-106,PLT-05,339,MT,217.58,73759.62,2025-06-06,Closed
PO-1190,2025-05-05,SUP-008,MAT-106,PLT-02,339,MT,214.59,72746.01,2025-06-08,Closed
PO-1191,2025-05-06,SUP-008,MAT-106,PLT-05,555,MT,214.67,119141.85,2025-06-02,Closed
PO-1192,2025-05-01,SUP-009,MAT-108,PLT-04,355,KG,172.54,61251.7,2025-05-31,Closed
PO-1193,2025-05-02,SUP-009,MAT-107,PLT-04,923,KG,156.06,144043.38,2025-05-13,Closed
PO-1194,2025-05-03,SUP-009,MAT-108,PLT-01,1414,KG,172.17,243448.38,2025-06-06,Closed
PO-1195,2025-05-19,SUP-009,MAT-108,PLT-04,1039,KG,172.73,179466.47,2025-06-11,Closed
PO-1196,2025-05-19,SUP-010,MAT-103,PLT-06,142,MT,49.39,7013.38,2025-06-12,Closed
PO-1197,2025-05-20,SUP-010,MAT-103,PLT-06,344,MT,49.75,17114.0,2025-06-23,Closed
PO-1198,2025-05-12,SUP-011,MAT-105,PLT-05,141,MT,32.26,4548.66,2025-05-24,Closed
PO-1199,2025-05-01,SUP-011,MAT-105,PLT-05,280,MT,32.41,9074.8,2025-05-18,Closed
PO-1200,2025-05-19,SUP-012,MAT-110,PLT-05,431,KG,8.01,3452.31,2025-06-03,Closed
PO-1201,2025-05-09,SUP-012,MAT-110,PLT-05,393,KG,7.96,3128.28,2025-05-19,Closed
PO-1202,2025-05-13,SUP-012,MAT-110,PLT-03,561,KG,8.02,4499.22,2025-06-08,Closed
PO-1203,2025-05-20,SUP-013,MAT-101,PLT-01,269,MT,59.22,15930.18,2025-05-30,Closed
PO-1204,2025-05-17,SUP-013,MAT-101,PLT-01,423,MT,59.43,25138.89,2025-06-19,Closed
PO-1205,2025-05-08,SUP-013,MAT-101,PLT-01,247,MT,59.59,14718.73,2025-05-25,Closed
PO-1206,2025-05-14,SUP-014,MAT-104,PLT-04,329,MT,42.18,13877.22,2025-06-15,Closed
PO-1207,2025-05-19,SUP-014,MAT-104,PLT-01,499,MT,41.93,20923.07,2025-06-12,Closed
PO-1208,2025-05-19,SUP-014,MAT-104,PLT-02,184,MT,42.08,7742.72,2025-06-08,Closed
PO-1209,2025-06-08,SUP-001,MAT-101,PLT-03,593,MT,53.36,31642.48,2025-06-19,Closed
PO-1210,2025-06-17,SUP-001,MAT-101,PLT-05,436,MT,54.15,23609.4,2025-07-21,Closed
PO-1211,2025-06-12,SUP-001,MAT-101,PLT-05,454,MT,53.77,24411.58,2025-06-23,Closed
PO-1212,2025-06-05,SUP-002,MAT-102,PLT-03,197,MT,311.31,61328.07,2025-06-21,Closed
PO-1213,2025-06-11,SUP-002,MAT-102,PLT-04,498,MT,311.05,154902.9,2025-07-07,Closed
PO-1214,2025-06-03,SUP-002,MAT-102,PLT-05,513,MT,311.27,159681.51,2025-06-23,Closed
PO-1215,2025-06-05,SUP-003,MAT-103,PLT-02,204,MT,48.37,9867.48,2025-06-17,Closed
PO-1216,2025-06-20,SUP-003,MAT-103,PLT-05,156,MT,47.89,7470.84,2025-07-16,Closed
PO-1217,2025-06-02,SUP-004,MAT-104,PLT-06,458,MT,41.74,19116.92,2025-06-24,Closed
PO-1218,2025-06-01,SUP-004,MAT-104,PLT-04,218,MT,42.42,9247.56,2025-07-04,Closed
PO-1219,2025-06-05,SUP-005,MAT-105,PLT-03,244,MT,31.03,7571.32,2025-07-01,Closed
PO-1220,2025-06-17,SUP-005,MAT-105,PLT-05,474,MT,30.77,14584.98,2025-07-20,Closed
PO-1221,2025-06-01,SUP-005,MAT-105,PLT-04,307,MT,30.86,9474.02,2025-07-04,Closed
PO-1222,2025-06-09,SUP-006,MAT-102,PLT-04,444,MT,322.27,143087.88,2025-06-26,Closed
PO-1223,2025-06-16,SUP-006,MAT-102,PLT-05,92,MT,319.85,29426.2,2025-07-13,Closed
PO-1224,2025-06-03,SUP-006,MAT-102,PLT-05,283,MT,320.18,90610.94,2025-07-06,Closed
PO-1225,2025-06-01,SUP-006,MAT-102,PLT-03,144,MT,317.71,45750.24,2025-06-25,Closed
PO-1226,2025-06-06,SUP-007,MAT-101,PLT-01,463,MT,56.48,26150.24,2025-06-26,Closed
PO-1227,2025-06-06,SUP-007,MAT-101,PLT-02,124,MT,56.85,7049.4,2025-07-01,Closed
PO-1228,2025-06-08,SUP-007,MAT-101,PLT-04,369,MT,57.12,21077.28,2025-07-10,Closed
PO-1229,2025-06-17,SUP-008,MAT-106,PLT-05,482,MT,216.31,104261.42,2025-07-19,Closed
PO-1230,2025-06-15,SUP-008,MAT-106,PLT-06,257,MT,216.57,55658.49,2025-07-16,Closed
PO-1231,2025-06-18,SUP-008,MAT-106,PLT-01,520,MT,217.17,112928.4,2025-07-19,Closed
PO-1232,2025-06-04,SUP-009,MAT-108,PLT-03,627,KG,174.05,109129.35,2025-07-01,Closed
PO-1233,2025-06-13,SUP-009,MAT-108,PLT-05,222,KG,174.29,38692.38,2025-06-27,Closed
PO-1234,2025-06-16,SUP-010,MAT-103,PLT-04,372,MT,49.44,18391.68,2025-07-02,Closed
PO-1235,2025-06-05,SUP-010,MAT-103,PLT-01,534,MT,49.36,26358.24,2025-06-27,Closed
PO-1236,2025-06-13,SUP-010,MAT-103,PLT-01,179,MT,49.34,8831.86,2025-06-24,Closed
PO-1237,2025-06-17,SUP-010,MAT-103,PLT-04,314,MT,49.71,15608.94,2025-07-18,Closed
PO-1238,2025-06-12,SUP-011,MAT-105,PLT-03,190,MT,32.26,6129.4,2025-07-13,Closed
PO-1239,2025-06-12,SUP-011,MAT-105,PLT-04,544,MT,32.11,17467.84,2025-07-13,Closed
PO-1240,2025-06-04,SUP-012,MAT-110,PLT-04,683,KG,8.03,5484.49,2025-06-28,Closed
PO-1241,2025-06-02,SUP-012,MAT-110,PLT-03,688,KG,8.0,5504.0,2025-06-13,Closed
PO-1242,2025-06-09,SUP-013,MAT-101,PLT-05,513,MT,59.1,30318.3,2025-07-05,Closed
PO-1243,2025-06-11,SUP-013,MAT-101,PLT-05,535,MT,59.74,31960.9,2025-07-01,Closed
PO-1244,2025-06-01,SUP-013,MAT-101,PLT-01,84,MT,59.18,4971.12,2025-06-28,Closed
PO-1245,2025-06-10,SUP-013,MAT-101,PLT-06,525,MT,59.33,31148.25,2025-07-03,Closed
PO-1246,2025-06-11,SUP-014,MAT-104,PLT-01,410,MT,42.39,17379.9,2025-07-02,Closed
