inspection_id,grn_id,supplier_id,material_id,plant_id,inspection_date,inspected_qty,defect_qty,defect_ppm,defect_category
INS-90089,GRN-5047,SUP-002,MAT-102,PLT-01,2025-02-26,26,0,93,None
INS-90090,GRN-5047,SUP-002,MAT-102,PLT-01,2025-02-26,26,0,133,None
INS-90091,GRN-5047,SUP-002,MAT-102,PLT-01,2025-02-26,28,0,88,None
INS-90092,GRN-5048,SUP-003,MAT-103,PLT-06,2025-02-22,197,0,361,None
INS-90093,GRN-5049,SUP-003,MAT-103,PLT-05,2025-02-17,51,0,849,None
INS-90094,GRN-5049,SUP-003,MAT-103,PLT-05,2025-02-17,51,0,489,None
INS-90095,GRN-5049,SUP-003,MAT-103,PLT-05,2025-02-17,52,0,378,None
INS-90096,GRN-5050,SUP-003,MAT-103,PLT-01,2025-03-10,245,0,181,None
INS-90097,GRN-5051,SUP-004,MAT-104,PLT-02,2025-03-03,44,0,441,None
INS-90098,GRN-5051,SUP-004,MAT-104,PLT-02,2025-03-03,44,0,172,None
INS-90099,GRN-5051,SUP-004,MAT-104,PLT-02,2025-03-03,44,0,686,None
INS-90100,GRN-5052,SUP-004,MAT-104,PLT-04,2025-02-17,219,0,529,None
INS-90101,GRN-5052,SUP-004,MAT-104,PLT-04,2025-02-17,220,0,321,None
INS-90102,GRN-5053,SUP-005,MAT-105,PLT-06,2025-03-07,592,0,1206,None
INS-90103,GRN-5054,SUP-005,MAT-105,PLT-02,2025-03-26,328,0,1383,None
INS-90104,GRN-5055,SUP-006,MAT-102,PLT-05,2025-03-18,127,0,584,None
INS-90105,GRN-5055,SUP-006,MAT-102,PLT-05,2025-03-18,127,0,294,None
INS-90106,GRN-5055,SUP-006,MAT-102,PLT-05,2025-03-18,128,0,454,None
INS-90107,GRN-5056,SUP-006,MAT-102,PLT-04,2025-02-24,176,0,602,None
INS-90108,GRN-5056,SUP-006,MAT-102,PLT-04,2025-02-24,177,0,715,None
INS-90109,GRN-5057,SUP-006,MAT-102,PLT-03,2025-02-28,312,0,588,None
INS-90110,GRN-5058,SUP-006,MAT-102,PLT-04,2025-03-03,504,0,393,None
INS-90111,GRN-5059,SUP-007,MAT-101,PLT-06,2025-03-16,582,0,1374,None
INS-90112,GRN-5060,SUP-007,MAT-101,PLT-04,2025-03-12,151,0,1777,None
INS-90113,GRN-5060,SUP-007,MAT-101,PLT-04,2025-03-12,151,0,1608,None
INS-90114,GRN-5061,SUP-007,MAT-101,PLT-03,2025-03-10,157,0,1835,None
INS-90115,GRN-5061,SUP-007,MAT-101,PLT-03,2025-03-10,157,0,2018,None
INS-90116,GRN-5061,SUP-007,MAT-101,PLT-03,2025-03-10,157,0,1901,None
INS-90117,GRN-5062,SUP-008,MAT-106,PLT-05,2025-02-16,109,0,2028,None
INS-90118,GRN-5062,SUP-008,MAT-106,PLT-05,2025-02-16,109,0,1197,None
INS-90119,GRN-5063,SUP-008,MAT-106,PLT-01,2025-03-01,398,0,1589,None
INS-90120,GRN-5064,SUP-008,MAT-106,PLT-04,2025-02-28,592,0,1546,None
INS-90121,GRN-5065,SUP-009,MAT-107,PLT-03,2025-03-10,125,0,5220,None
INS-90122,GRN-5065,SUP-009,MAT-107,PLT-03,2025-03-10,126,0,6153,None
INS-90123,GRN-5066,SUP-009,MAT-107,PLT-01,2025-02-25,724,3,5077,Contamination
INS-90124,GRN-5066,SUP-009,MAT-107,PLT-01,2025-02-25,724,4,5755,Moisture
INS-90125,GRN-5067,SUP-010,MAT-103,PLT-05,2025-02-19,368,0,1537,None
INS-90126,GRN-5068,SUP-010,MAT-103,PLT-02,2025-02-28,198,0,1249,None
INS-90127,GRN-5068,SUP-010,MAT-103,PLT-02,2025-02-28,198,0,1266,None
INS-90128,GRN-5068,SUP-010,MAT-103,PLT-02,2025-02-28,200,0,1698,None
INS-90129,GRN-5069,SUP-010,MAT-103,PLT-04,2025-03-04,69,0,1441,None
INS-90130,GRN-5069,SUP-010,MAT-103,PLT-04,2025-03-04,69,0,1671,None
INS-90131,GRN-5069,SUP-010,MAT-103,PLT-04,2025-03-04,71,0,1286,None
INS-90132,GRN-5070,SUP-010,MAT-103,PLT-02,2025-03-02,127,0,737,None
INS-90133,GRN-5070,SUP-010,MAT-103,PLT-02,2025-03-02,127,0,1557,None
INS-90134,GRN-5070,SUP-010,MAT-103,PLT-02,2025-03-02,127,0,1881,None
INS-90135,GRN-5071,SUP-011,MAT-105,PLT-05,2025-03-12,199,1,9065,Oversize Particles
INS-90136,GRN-5072,SUP-011,MAT-105,PLT-01,2025-03-26,388,2,5680,Contamination
INS-90137,GRN-5073,SUP-012,MAT-110,PLT-02,2025-03-09,674,0,25,None
INS-90138,GRN-5074,SUP-012,MAT-110,PLT-01,2025-03-14,484,0,441,None
INS-90139,GRN-5075,SUP-012,MAT-110,PLT-01,2025-03-06,180,0,481,None
INS-90140,GRN-5075,SUP-012,MAT-110,PLT-01,2025-03-06,180,0,427,None
INS-90141,GRN-5075,SUP-012,MAT-110,PLT-01,2025-03-06,181,0,359,None
INS-90142,GRN-5076,SUP-012,MAT-109,PLT-05,2025-03-18,261,0,363,None
INS-90143,GRN-5076,SUP-012,MAT-109,PLT-05,2025-03-18,262,0,122,None
INS-90144,GRN-5077,SUP-013,MAT-101,PLT-03,2025-02-19,343,0,2715,None
INS-90145,GRN-5078,SUP-013,MAT-101,PLT-04,2025-03-08,257,1,3918,Bubble/Seed
INS-90146,GRN-5079,SUP-013,MAT-101,PLT-04,2025-03-29,148,0,5796,None
INS-90147,GRN-5079,SUP-013,MAT-101,PLT-04,2025-03-29,149,0,4279,None
INS-90148,GRN-5080,SUP-014,MAT-104,PLT-02,2025-03-16,76,0,213,None
INS-90149,GRN-5080,SUP-014,MAT-104,PLT-02,2025-03-16,76,0,629,None
INS-90150,GRN-5080,SUP-014,MAT-104,PLT-02,2025-03-16,78,0,377,None
INS-90151,GRN-5081,SUP-014,MAT-104,PLT-04,2025-02-20,323,0,621,None
INS-90152,GRN-5082,SUP-014,MAT-104,PLT-02,2025-03-18,118,0,586,None
INS-90153,GRN-5082,SUP-014,MAT-104,PLT-02,2025-03-18,119,0,616,None
INS-90154,GRN-5083,SUP-014,MAT-104,PLT-01,2025-03-06,146,0,599,None
INS-90155,GRN-5083,SUP-014,MAT-104,PLT-01,2025-03-06,146,0,534,None
INS-90156,GRN-5083,SUP-014,MAT-104,PLT-01,2025-03-06,146,0,662,None
INS-90157,GRN-5084,SUP-001,MAT-101,PLT-06,2025-03-27,113,0,125,None
INS-90158,GRN-5085,SUP-001,MAT-101,PLT-06,2025-04-16,247,0,136,None
INS-90159,GRN-5086,SUP-002,MAT-102,PLT-04,2025-04-01,442,0,20,None
INS-90160,GRN-5087,SUP-002,MAT-102,PLT-03,2025-04-17,102,0,145,None
INS-90161,GRN-5087,SUP-002,MAT-102,PLT-03,2025-04-17,102,0,56,None
INS-90162,GRN-5087,SUP-002,MAT-102,PLT-03,2025-04-17,102,0,119,None
INS-90163,GRN-5088,SUP-002,MAT-102,PLT-05,2025-04-01,561,0,92,None
INS-90164,GRN-5089,SUP-003,MAT-103,PLT-02,2025-04-08,99,0,356,None
INS-90165,GRN-5090,SUP-003,MAT-103,PLT-01,2025-04-07,91,0,492,None
INS-90166,GRN-5091,SUP-003,MAT-103,PLT-03,2025-04-04,284,0,565,None
INS-90167,GRN-5091,SUP-003,MAT-103,PLT-03,2025-04-04,284,0,334,None
INS-90168,GRN-5092,SUP-003,MAT-103,PLT-01,2025-04-16,577,0,393,None
INS-90169,GRN-5093,SUP-004,MAT-104,PLT-03,2025-03-25,89,0,477,None
INS-90170,GRN-5093,SUP-004,MAT-104,PLT-03,2025-03-25,89,0,668,None
INS-90171,GRN-5093,SUP-004,MAT-104,PLT-03,2025-03-25,89,0,643,None
INS-90172,GRN-5094,SUP-004,MAT-104,PLT-01,2025-03-23,31,0,581,None
INS-90173,GRN-5094,SUP-004,MAT-104,PLT-01,2025-03-23,31,0,381,None
INS-90174,GRN-5094,SUP-004,MAT-104,PLT-01,2025-03-23,33,0,263,None
INS-90175,GRN-5095,SUP-004,MAT-104,PLT-03,2025-04-16,118,0,379,None
INS-90176,GRN-5096,SUP-005,MAT-105,PLT-04,2025-03-25,234,0,2263,None
INS-90177,GRN-5096,SUP-005,MAT-105,PLT-04,2025-03-25,234,0,664,None
INS-90178,GRN-5097,SUP-005,MAT-105,PLT-05,2025-03-25,239,0,1834,None
INS-90179,GRN-5097,SUP-005,MAT-105,PLT-05,2025-03-25,239,0,1936,None
INS-90180,GRN-5098,SUP-005,MAT-105,PLT-02,2025-04-06,116,0,1608,None
INS-90181,GRN-5098,SUP-005,MAT-105,PLT-02,2025-04-06,116,0,1165,None
INS-90182,GRN-5099,SUP-005,MAT-105,PLT-02,2025-04-05,572,0,1221,None
INS-90183,GRN-5100,SUP-006,MAT-102,PLT-02,2025-04-19,498,0,821,None
INS-90184,GRN-5101,SUP-006,MAT-102,PLT-06,2025-03-21,145,0,597,None
INS-90185,GRN-5101,SUP-006,MAT-102,PLT-06,2025-03-21,145,0,553,None
INS-90186,GRN-5101,SUP-006,MAT-102,PLT-06,2025-03-21,146,0,766,None
INS-90187,GRN-5102,SUP-006,MAT-102,PLT-03,2025-03-30,152,0,592,None
INS-90188,GRN-5102,SUP-006,MAT-102,PLT-03,2025-03-30,153,0,455,None
INS-90189,GRN-5103,SUP-006,MAT-102,PLT-03,2025-04-08,39,0,376,None
INS-90190,GRN-5103,SUP-006,MAT-102,PLT-03,2025-04-08,39,0,300,None
INS-90191,GRN-5103,SUP-006,MAT-102,PLT-03,2025-04-08,41,0,500,None
INS-90192,GRN-5104,SUP-007,MAT-101,PLT-05,2025-04-04,55,0,1515,None
INS-90193,GRN-5104,SUP-007,MAT-101,PLT-05,2025-04-04,55,0,2171,None
INS-90194,GRN-5105,SUP-007,MAT-101,PLT-02,2025-04-04,303,0,1338,None
INS-90195,GRN-5106,SUP-007,MAT-101,PLT-06,2025-03-26,250,0,1615,None
INS-90196,GRN-5106,SUP-007,MAT-101,PLT-06,2025-03-26,251,0,1894,None
INS-90197,GRN-5107,SUP-007,MAT-101,PLT-06,2025-04-14,33,0,2012,None
INS-90198,GRN-5107,SUP-007,MAT-101,PLT-06,2025-04-14,33,0,1692,None
INS-90199,GRN-5107,SUP-007,MAT-101,PLT-06,2025-04-14,35,0,1223,None
INS-90200,GRN-5108,SUP-008,MAT-106,PLT-05,2025-04-08,112,0,1546,None
INS-90201,GRN-5109,SUP-008,MAT-106,PLT-05,2025-04-07,118,0,2112,None
INS-90202,GRN-5109,SUP-008,MAT-106,PLT-05,2025-04-07,118,0,1383,None
INS-90203,GRN-5110,SUP-008,MAT-106,PLT-05,2025-04-07,191,0,1126,None
INS-90204,GRN-5110,SUP-008,MAT-106,PLT-05,2025-04-07,191,0,1148,None
INS-90205,GRN-5111,SUP-008,MAT-106,PLT-01,2025-03-31,116,0,1741,None
INS-90206,GRN-5111,SUP-008,MAT-106,PLT-01,2025-03-31,116,0,1818,None
INS-90207,GRN-5111,SUP-008,MAT-106,PLT-01,2025-03-31,118,0,1004,None
INS-90208,GRN-5112,SUP-009,MAT-108,PLT-04,2025-04-18,1098,5,5343,Packaging Damage
INS-90209,GRN-5113,SUP-009,MAT-108,PLT-01,2025-03-28,158,0,4040,None
INS-90210,GRN-5113,SUP-009,MAT-108,PLT-01,2025-03-28,158,0,727,None
INS-90211,GRN-5114,SUP-010,MAT-103,PLT-06,2025-03-26,90,0,1330,None
INS-90212,GRN-5115,SUP-010,MAT-103,PLT-06,2025-03-26,165,0,1370,None
INS-90213,GRN-5116,SUP-010,MAT-103,PLT-01,2025-03-17,97,0,1141,None
INS-90214,GRN-5116,SUP-010,MAT-103,PLT-01,2025-03-17,98,0,1553,None
INS-90215,GRN-5117,SUP-010,MAT-103,PLT-03,2025-03-24,198,0,1356,None
INS-90216,GRN-5117,SUP-010,MAT-103,PLT-03,2025-03-24,198,0,2164,None
INS-90217,GRN-5118,SUP-011,MAT-105,PLT-03,2025-04-24,154,1,7631,Moisture
INS-90218,GRN-5118,SUP-011,MAT-105,PLT-03,2025-04-24,154,0,4026,None
INS-90219,GRN-5118,SUP-011,MAT-105,PLT-03,2025-04-24,154,0,3705,None
INS-90220,GRN-5119,SUP-011,MAT-105,PLT-05,2025-04-04,107,0,2597,None
INS-90221,GRN-5119,SUP-011,MAT-105,PLT-05,2025-04-04,107,0,6813,None
INS-90222,GRN-5119,SUP-011,MAT-105,PLT-05,2025-04-04,108,0,3977,None
INS-90223,GRN-5120,SUP-011,MAT-105,PLT-04,2025-03-25,103,1,9998,Moisture
INS-90224,GRN-5121,SUP-011,MAT-105,PLT-04,2025-04-13,221,1,6612,Contamination
INS-90225,GRN-5121,SUP-011,MAT-105,PLT-04,2025-04-13,222,1,4735,Moisture
INS-90226,GRN-5122,SUP-012,MAT-109,PLT-02,2025-03-24,115,0,374,None
INS-90227,GRN-5122,SUP-012,MAT-109,PLT-02,2025-03-24,115,0,668,None
INS-90228,GRN-5122,SUP-012,MAT-109,PLT-02,2025-03-24,115,0,711,None
INS-90229,GRN-5123,SUP-012,MAT-110,PLT-06,2025-03-20,191,0,650,None
INS-90230,GRN-5123,SUP-012,MAT-110,PLT-06,2025-03-20,191,0,692,None
INS-90231,GRN-5123,SUP-012,MAT-110,PLT-06,2025-03-20,192,0,734,None
INS-90232,GRN-5124,SUP-012,MAT-110,PLT-02,2025-03-14,1090,0,329,None
INS-90233,GRN-5125,SUP-013,MAT-101,PLT-03,2025-03-31,116,0,3522,None
INS-90234,GRN-5125,SUP-013,MAT-101,PLT-03,2025-03-31,116,0,2621,None
INS-90235,GRN-5125,SUP-013,MAT-101,PLT-03,2025-03-31,117,0,2258,None
INS-90236,GRN-5126,SUP-013,MAT-101,PLT-03,2025-04-19,248,1,4259,Contamination
INS-90237,GRN-5127,SUP-013,MAT-101,PLT-05,2025-03-20,40,0,4042,None
INS-90238,GRN-5127,SUP-013,MAT-101,PLT-05,2025-03-20,40,0,3319,None
INS-90239,GRN-5128,SUP-014,MAT-104,PLT-03,2025-04-09,68,0,704,None
INS-90240,GRN-5128,SUP-014,MAT-104,PLT-03,2025-04-09,68,0,302,None
INS-90241,GRN-5128,SUP-014,MAT-104,PLT-03,2025-04-09,69,0,551,None
INS-90242,GRN-5129,SUP-014,MAT-104,PLT-02,2025-03-20,140,0,473,None
INS-90243,GRN-5129,SUP-014,MAT-104,PLT-02,2025-03-20,140,0,507,None
INS-90244,GRN-5129,SUP-014,MAT-104,PLT-02,2025-03-20,140,0,828,None
INS-90245,GRN-5130,SUP-014,MAT-104,PLT-01,2025-04-13,212,0,440,None
INS-90246,GRN-5130,SUP-014,MAT-104,PLT-01,2025-04-13,212,0,608,None
INS-90247,GRN-5131,SUP-001,MAT-101,PLT-05,2025-04-17,119,0,109,None
INS-90248,GRN-5131,SUP-001,MAT-101,PLT-05,2025-04-17,119,0,104,None
INS-90249,GRN-5132,SUP-001,MAT-101,PLT-05,2025-04-25,410,0,151,None
INS-90250,GRN-5133,SUP-002,MAT-102,PLT-01,2025-04-24,192,0,91,None
INS-90251,GRN-5133,SUP-002,MAT-102,PLT-01,2025-04-24,192,0,214,None
INS-90252,GRN-5134,SUP-002,MAT-102,PLT-03,2025-05-06,164,0,113,None
INS-90253,GRN-5135,SUP-003,MAT-103,PLT-06,2025-05-13,192,0,192,None
INS-90254,GRN-5135,SUP-003,MAT-103,PLT-06,2025-05-13,192,0,466,None
INS-90255,GRN-5135,SUP-003,MAT-103,PLT-06,2025-05-13,193,0,440,None
INS-90256,GRN-5136,SUP-003,MAT-103,PLT-04,2025-04-29,73,0,319,None
INS-90257,GRN-5136,SUP-003,MAT-103,PLT-04,2025-04-29,73,0,475,None
INS-90258,GRN-5136,SUP-003,MAT-103,PLT-04,2025-04-29,74,0,337,None
INS-90259,GRN-5137,SUP-003,MAT-103,PLT-05,2025-04-28,169,0,695,None
INS-90260,GRN-5138,SUP-003,MAT-103,PLT-02,2025-05-03,524,0,524,None
INS-90261,GRN-5139,SUP-004,MAT-104,PLT-06,2025-04-27,98,0,471,None
INS-90262,GRN-5139,SUP-004,MAT-104,PLT-06,2025-04-27,99,0,406,None
INS-90263,GRN-5140,SUP-004,MAT-104,PLT-02,2025-05-02,186,0,568,None
INS-90264,GRN-5140,SUP-004,MAT-104,PLT-02,2025-05-02,186,0,800,None
INS-90265,GRN-5141,SUP-004,MAT-104,PLT-01,2025-05-03,187,0,255,None
INS-90266,GRN-5141,SUP-004,MAT-104,PLT-01,2025-05-03,187,0,601,None
INS-90267,GRN-5141,SUP-004,MAT-104,PLT-01,2025-05-03,188,0,798,None
INS-90268,GRN-5142,SUP-004,MAT-104,PLT-02,2025-04-14,156,0,603,None
INS-90269,GRN-5143,SUP-005,MAT-105,PLT-04,2025-04-26,127,0,2079,None
INS-90270,GRN-5143,SUP-005,MAT-105,PLT-04,2025-04-26,127,0,614,None
INS-90271,GRN-5143,SUP-005,MAT-105,PLT-04,2025-04-26,127,0,842,None
INS-90272,GRN-5144,SUP-005,MAT-105,PLT-06,2025-04-16,252,0,924,None
INS-90273,GRN-5144,SUP-005,MAT-105,PLT-06,2025-04-16,252,0,1884,None
INS-90274,GRN-5145,SUP-005,MAT-105,PLT-02,2025-04-25,169,0,1169,None
INS-90275,GRN-5145,SUP-005,MAT-105,PLT-02,2025-04-25,169,0,979,None
INS-90276,GRN-5146,SUP-005,MAT-105,PLT-02,2025-05-07,262,0,1830,None
INS-90277,GRN-5146,SUP-005,MAT-105,PLT-02,2025-05-07,263,0,1219,None
INS-90278,GRN-5147,SUP-006,MAT-102,PLT-05,2025-05-05,327,0,228,None
INS-90279,GRN-5148,SUP-006,MAT-102,PLT-04,2025-04-27,579,0,257,None
INS-90280,GRN-5149,SUP-006,MAT-102,PLT-01,2025-04-18,129,0,336,None
INS-90281,GRN-5149,SUP-006,MAT-102,PLT-01,2025-04-18,130,0,53,None
INS-90282,GRN-5150,SUP-007,MAT-101,PLT-02,2025-05-03,508,0,1514,None
INS-90283,GRN-5151,SUP-007,MAT-101,PLT-05,2025-05-18,69,0,2880,None
INS-90284,GRN-5151,SUP-007,MAT-101,PLT-05,2025-05-18,69,0,2794,None
INS-90285,GRN-5151,SUP-007,MAT-101,PLT-05,2025-05-18,71,0,1342,None
INS-90286,GRN-5152,SUP-007,MAT-101,PLT-06,2025-04-15,317,0,1529,None
INS-90287,GRN-5153,SUP-008,MAT-106,PLT-06,2025-04-22,175,0,1778,None
INS-90288,GRN-5153,SUP-008,MAT-106,PLT-06,2025-04-22,175,0,1204,None
INS-90289,GRN-5153,SUP-008,MAT-106,PLT-06,2025-04-22,176,0,1184,None
INS-90290,GRN-5154,SUP-008,MAT-106,PLT-06,2025-05-11,166,0,1095,None
INS-90291,GRN-5154,SUP-008,MAT-106,PLT-06,2025-05-11,166,0,1205,None
INS-90292,GRN-5155,SUP-009,MAT-108,PLT-04,2025-05-03,339,0,2503,None
INS-90293,GRN-5155,SUP-009,MAT-108,PLT-04,2025-05-03,339,1,4422,Off-spec Chemistry
INS-90294,GRN-5155,SUP-009,MAT-108,PLT-04,2025-05-03,341,2,6829,Oversize Particles
INS-90295,GRN-5156,SUP-009,MAT-107,PLT-06,2025-04-30,1406,6,4268,Bubble/Seed
INS-90296,GRN-5157,SUP-010,MAT-103,PLT-05,2025-05-02,107,0,2128,None
