grn_id,po_id,supplier_id,material_id,plant_id,received_date,received_qty,unit_of_measure,delivery_status,fulfillment_status,delivery_delay_days
GRN-5039,PO-1039,SUP-013,MAT-101,PLT-01,2025-02-10,421,MT,On-Time,In-Full,0
GRN-5040,PO-1040,SUP-014,MAT-104,PLT-03,2025-02-06,252,MT,On-Time,In-Full,0
GRN-5041,PO-1041,SUP-014,MAT-104,PLT-04,2025-02-20,229,MT,On-Time,Short,0
GRN-5042,PO-1042,SUP-014,MAT-104,PLT-05,2025-02-14,306,MT,Late,In-Full,5
GRN-5043,PO-1043,SUP-001,MAT-101,PLT-02,2025-02-23,395,MT,On-Time,In-Full,0
GRN-5044,PO-1044,SUP-001,MAT-101,PLT-01,2025-02-18,540,MT,On-Time,In-Full,0
GRN-5045,PO-1045,SUP-001,MAT-101,PLT-01,2025-03-13,453,MT,On-Time,In-Full,0
GRN-5046,PO-1046,SUP-002,MAT-102,PLT-05,2025-02-18,597,MT,On-Time,In-Full,0
GRN-5047,PO-1047,SUP-002,MAT-102,PLT-01,2025-02-26,80,MT,On-Time,In-Full,0
GRN-5048,PO-1048,SUP-003,MAT-103,PLT-06,2025-02-22,197,MT,On-Time,In-Full,0
GRN-5049,PO-1049,SUP-003,MAT-103,PLT-05,2025-02-17,154,MT,On-Time,In-Full,0
GRN-5050,PO-1050,SUP-003,MAT-103,PLT-01,2025-03-10,245,MT,On-Time,In-Full,0
GRN-5051,PO-1051,SUP-004,MAT-104,PLT-02,2025-03-03,132,MT,On-Time,In-Full,0
GRN-5052,PO-1052,SUP-004,MAT-104,PLT-04,2025-02-17,439,MT,Late,In-Full,2
GRN-5053,PO-1053,SUP-005,MAT-105,PLT-06,2025-03-07,592,MT,On-Time,In-Full,0
GRN-5054,PO-1054,SUP-005,MAT-105,PLT-02,2025-03-26,328,MT,Late,In-Full,6
GRN-5055,PO-1055,SUP-006,MAT-102,PLT-05,2025-03-18,382,MT,On-Time,In-Full,0
GRN-5056,PO-1056,SUP-006,MAT-102,PLT-04,2025-02-24,353,MT,On-Time,In-Full,0
GRN-5057,PO-1057,SUP-006,MAT-102,PLT-03,2025-02-28,312,MT,On-Time,In-Full,0
GRN-5058,PO-1058,SUP-006,MAT-102,PLT-04,2025-03-03,504,MT,On-Time,In-Full,0
GRN-5059,PO-1059,SUP-007,MAT-101,PLT-06,2025-03-16,582,MT,On-Time,In-Full,0
GRN-5060,PO-1060,SUP-007,MAT-101,PLT-04,2025-03-12,302,MT,On-Time,In-Full,0
GRN-5061,PO-1061,SUP-007,MAT-101,PLT-03,2025-03-10,471,MT,Late,In-Full,4
GRN-5062,PO-1062,SUP-008,MAT-106,PLT-05,2025-02-16,218,MT,On-Time,In-Full,0
GRN-5063,PO-1063,SUP-008,MAT-106,PLT-01,2025-03-01,398,MT,On-Time,In-Full,0
GRN-5064,PO-1064,SUP-008,MAT-106,PLT-04,2025-02-28,592,MT,On-Time,In-Full,0
GRN-5065,PO-1065,SUP-009,MAT-107,PLT-03,2025-03-10,251,KG,On-Time,Short,0
GRN-5066,PO-1066,SUP-009,MAT-107,PLT-01,2025-02-25,1448,KG,On-Time,In-Full,0
GRN-5067,PO-1067,SUP-010,MAT-103,PLT-05,2025-02-19,368,MT,On-Time,In-Full,0
GRN-5068,PO-1068,SUP-010,MAT-103,PLT-02,2025-02-28,596,MT,On-Time,In-Full,0
GRN-5069,PO-1069,SUP-010,MAT-103,PLT-04,2025-03-04,209,MT,On-Time,In-Full,0
GRN-5070,PO-1070,SUP-010,MAT-103,PLT-02,2025-03-02,381,MT,On-Time,In-Full,0
GRN-5071,PO-1071,SUP-011,MAT-105,PLT-05,2025-03-12,199,MT,On-Time,Short,0
GRN-5072,PO-1072,SUP-011,MAT-105,PLT-01,2025-03-26,388,MT,On-Time,In-Full,0
GRN-5073,PO-1073,SUP-012,MAT-110,PLT-02,2025-03-09,674,KG,On-Time,In-Full,0
GRN-5074,PO-1074,SUP-012,MAT-110,PLT-01,2025-03-14,484,KG,On-Time,In-Full,0
GRN-5075,PO-1075,SUP-012,MAT-110,PLT-01,2025-03-06,541,KG,On-Time,In-Full,0
GRN-5076,PO-1076,SUP-012,MAT-109,PLT-05,2025-03-18,523,EA,On-Time,In-Full,0
GRN-5077,PO-1077,SUP-013,MAT-101,PLT-03,2025-02-19,343,MT,On-Time,In-Full,0
GRN-5078,PO-1078,SUP-013,MAT-101,PLT-04,2025-03-08,257,MT,On-Time,In-Full,0
GRN-5079,PO-1079,SUP-013,MAT-101,PLT-04,2025-03-29,297,MT,Late,Short,10
GRN-5080,PO-1080,SUP-014,MAT-104,PLT-02,2025-03-16,230,MT,On-Time,In-Full,0
GRN-5081,PO-1081,SUP-014,MAT-104,PLT-04,2025-02-20,323,MT,On-Time,Short,0
GRN-5082,PO-1082,SUP-014,MAT-104,PLT-02,2025-03-18,237,MT,On-Time,In-Full,0
GRN-5083,PO-1083,SUP-014,MAT-104,PLT-01,2025-03-06,438,MT,On-Time,In-Full,0
GRN-5084,PO-1084,SUP-001,MAT-101,PLT-06,2025-03-27,113,MT,On-Time,In-Full,0
GRN-5085,PO-1085,SUP-001,MAT-101,PLT-06,2025-04-16,247,MT,On-Time,In-Full,0
GRN-5086,PO-1086,SUP-002,MAT-102,PLT-04,2025-04-01,442,MT,On-Time,In-Full,0
GRN-5087,PO-1087,SUP-002,MAT-102,PLT-03,2025-04-17,306,MT,On-Time,In-Full,0
GRN-5088,PO-1088,SUP-002,MAT-102,PLT-05,2025-04-01,561,MT,On-Time,In-Full,0
GRN-5089,PO-1089,SUP-003,MAT-103,PLT-02,2025-04-08,99,MT,Late,Short,7
GRN-5090,PO-1090,SUP-003,MAT-103,PLT-01,2025-04-07,91,MT,On-Time,In-Full,0
GRN-5091,PO-1091,SUP-003,MAT-103,PLT-03,2025-04-04,568,MT,On-Time,In-Full,0
GRN-5092,PO-1092,SUP-003,MAT-103,PLT-01,2025-04-16,577,MT,On-Time,In-Full,0
GRN-5093,PO-1093,SUP-004,MAT-104,PLT-03,2025-03-25,267,MT,On-Time,In-Full,0
GRN-5094,PO-1094,SUP-004,MAT-104,PLT-01,2025-03-23,95,MT,On-Time,In-Full,0
GRN-5095,PO-1095,SUP-004,MAT-104,PLT-03,2025-04-16,118,MT,On-Time,In-Full,0
GRN-5096,PO-1096,SUP-005,MAT-105,PLT-04,2025-03-25,468,MT,On-Time,In-Full,0
GRN-5097,PO-1097,SUP-005,MAT-105,PLT-05,2025-03-25,478,MT,On-Time,In-Full,0
GRN-5098,PO-1098,SUP-005,MAT-105,PLT-02,2025-04-06,232,MT,On-Time,In-Full,0
GRN-5099,PO-1099,SUP-005,MAT-105,PLT-02,2025-04-05,572,MT,On-Time,Short,0
GRN-5100,PO-1100,SUP-006,MAT-102,PLT-02,2025-04-19,498,MT,On-Time,In-Full,0
GRN-5101,PO-1101,SUP-006,MAT-102,PLT-06,2025-03-21,436,MT,On-Time,In-Full,0
GRN-5102,PO-1102,SUP-006,MAT-102,PLT-03,2025-03-30,305,MT,On-Time,In-Full,0
GRN-5103,PO-1103,SUP-006,MAT-102,PLT-03,2025-04-08,119,MT,On-Time,In-Full,0
GRN-5104,PO-1104,SUP-007,MAT-101,PLT-05,2025-04-04,110,MT,Late,In-Full,5
GRN-5105,PO-1105,SUP-007,MAT-101,PLT-02,2025-04-04,303,MT,On-Time,In-Full,0
GRN-5106,PO-1106,SUP-007,MAT-101,PLT-06,2025-03-26,501,MT,On-Time,Short,0
GRN-5107,PO-1107,SUP-007,MAT-101,PLT-06,2025-04-14,101,MT,On-Time,In-Full,0
GRN-5108,PO-1108,SUP-008,MAT-106,PLT-05,2025-04-08,112,MT,On-Time,In-Full,0
GRN-5109,PO-1109,SUP-008,MAT-106,PLT-05,2025-04-07,236,MT,On-Time,In-Full,0
GRN-5110,PO-1110,SUP-008,MAT-106,PLT-05,2025-04-07,382,MT,Late,In-Full,4
GRN-5111,PO-1111,SUP-008,MAT-106,PLT-01,2025-03-31,350,MT,On-Time,In-Full,0
GRN-5112,PO-1112,SUP-009,MAT-108,PLT-04,2025-04-18,1098,KG,On-Time,In-Full,0
GRN-5113,PO-1113,SUP-009,MAT-108,PLT-01,2025-03-28,316,KG,On-Time,In-Full,0
GRN-5114,PO-1114,SUP-010,MAT-103,PLT-06,2025-03-26,90,MT,On-Time,In-Full,0
GRN-5115,PO-1115,SUP-010,MAT-103,PLT-06,2025-03-26,165,MT,Late,In-Full,6
GRN-5116,PO-1116,SUP-010,MAT-103,PLT-01,2025-03-17,195,MT,On-Time,In-Full,0
GRN-5117,PO-1117,SUP-010,MAT-103,PLT-03,2025-03-24,396,MT,On-Time,In-Full,0
GRN-5118,PO-1118,SUP-011,MAT-105,PLT-03,2025-04-24,462,MT,Late,In-Full,10
GRN-5119,PO-1119,SUP-011,MAT-105,PLT-05,2025-04-04,322,MT,Late,In-Full,8
GRN-5120,PO-1120,SUP-011,MAT-105,PLT-04,2025-03-25,103,MT,On-Time,Short,0
GRN-5121,PO-1121,SUP-011,MAT-105,PLT-04,2025-04-13,443,MT,On-Time,In-Full,0
GRN-5122,PO-1122,SUP-012,MAT-109,PLT-02,2025-03-24,345,EA,On-Time,In-Full,0
GRN-5123,PO-1123,SUP-012,MAT-110,PLT-06,2025-03-20,574,KG,On-Time,In-Full,0
GRN-5124,PO-1124,SUP-012,MAT-110,PLT-02,2025-03-14,1090,KG,On-Time,In-Full,0
GRN-5125,PO-1125,SUP-013,MAT-101,PLT-03,2025-03-31,349,MT,On-Time,In-Full,0
GRN-5126,PO-1126,SUP-013,MAT-101,PLT-03,2025-04-19,248,MT,On-Time,Short,0
GRN-5127,PO-1127,SUP-013,MAT-101,PLT-05,2025-03-20,80,MT,On-Time,In-Full,0
GRN-5128,PO-1128,SUP-014,MAT-104,PLT-03,2025-04-09,205,MT,On-Time,In-Full,0
GRN-5129,PO-1129,SUP-014,MAT-104,PLT-02,2025-03-20,420,MT,On-Time,In-Full,0
GRN-5130,PO-1130,SUP-014,MAT-104,PLT-01,2025-04-13,424,MT,On-Time,In-Full,0
GRN-5131,PO-1131,SUP-001,MAT-101,PLT-05,2025-04-17,238,MT,On-Time,In-Full,0
GRN-5132,PO-1132,SUP-001,MAT-101,PLT-05,2025-04-25,410,MT,On-Time,In-Full,0
GRN-5133,PO-1133,SUP-002,MAT-102,PLT-01,2025-04-24,384,MT,On-Time,In-Full,0
GRN-5134,PO-1134,SUP-002,MAT-102,PLT-03,2025-05-06,164,MT,On-Time,In-Full,0
GRN-5135,PO-1135,SUP-003,MAT-103,PLT-06,2025-05-13,577,MT,On-Time,In-Full,0
GRN-5136,PO-1136,SUP-003,MAT-103,PLT-04,2025-04-29,220,MT,On-Time,In-Full,0
GRN-5137,PO-1137,SUP-003,MAT-103,PLT-05,2025-04-28,169,MT,On-Time,In-Full,0
GRN-5138,PO-1138,SUP-003,MAT-103,PLT-02,2025-05-03,524,MT,On-Time,In-Full,0
GRN-5139,PO-1139,SUP-004,MAT-104,PLT-06,2025-04-27,197,MT,On-Time,In-Full,0
GRN-5140,PO-1140,SUP-004,MAT-104,PLT-02,2025-05-02,372,MT,On-Time,In-Full,0
GRN-5141,PO-1141,SUP-004,MAT-104,PLT-01,2025-05-03,562,MT,On-Time,In-Full,0
GRN-5142,PO-1142,SUP-004,MAT-104,PLT-02,2025-04-14,156,MT,On-Time,In-Full,0
GRN-5143,PO-1143,SUP-005,MAT-105,PLT-04,2025-04-26,381,MT,On-Time,In-Full,0
GRN-5144,PO-1144,SUP-005,MAT-105,PLT-06,2025-04-16,504,MT,On-Time,In-Full,0
GRN-5145,PO-1145,SUP-005,MAT-105,PLT-02,2025-04-25,338,MT,Late,In-Full,2
GRN-5146,PO-1146,SUP-005,MAT-105,PLT-02,2025-05-07,525,MT,On-Time,In-Full,0
GRN-5147,PO-1147,SUP-006,MAT-102,PLT-05,2025-05-05,327,MT,On-Time,In-Full,0
GRN-5148,PO-1148,SUP-006,MAT-102,PLT-04,2025-04-27,579,MT,On-Time,In-Full,0
GRN-5149,PO-1149,SUP-006,MAT-102,PLT-01,2025-04-18,259,MT,On-Time,In-Full,0
GRN-5150,PO-1150,SUP-007,MAT-101,PLT-02,2025-05-03,508,MT,On-Time,In-Full,0
GRN-5151,PO-1151,SUP-007,MAT-101,PLT-05,2025-05-18,209,MT,Late,In-Full,5
GRN-5152,PO-1152,SUP-007,MAT-101,PLT-06,2025-04-15,317,MT,On-Time,In-Full,0
GRN-5153,PO-1153,SUP-008,MAT-106,PLT-06,2025-04-22,526,MT,On-Time,In-Full,0
GRN-5154,PO-1154,SUP-008,MAT-106,PLT-06,2025-05-11,332,MT,On-Time,In-Full,0
GRN-5155,PO-1155,SUP-009,MAT-108,PLT-04,2025-05-03,1019,KG,On-Time,In-Full,0
GRN-5156,PO-1156,SUP-009,MAT-107,PLT-06,2025-04-30,1406,KG,On-Time,In-Full,0
GRN-5157,PO-1157,SUP-010,MAT-103,PLT-05,2025-05-02,321,MT,On-Time,In-Full,0
GRN-5158,PO-1158,SUP-010,MAT-103,PLT-04,2025-05-02,306,MT,On-Time,In-Full,0
GRN-5159,PO-1159,SUP-011,MAT-105,PLT-02,2025-05-05,108,MT,On-Time,In-Full,0
GRN-5160,PO-1160,SUP-011,MAT-105,PLT-05,2025-04-22,546,MT,On-Time,In-Full,0
GRN-5161,PO-1161,SUP-012,MAT-110,PLT-05,2025-05-10,565,KG,On-Time,In-Full,0
GRN-5162,PO-1162,SUP-012,MAT-110,PLT-04,2025-05-12,1446,KG,On-Time,In-Full,0
GRN-5163,PO-1163,SUP-013,MAT-101,PLT-02,2025-05-10,198,MT,On-Time,In-Full,0
GRN-5164,PO-1164,SUP-013,MAT-101,PLT-05,2025-04-22,239,MT,On-Time,In-Full,0
GRN-5165,PO-1165,SUP-014,MAT-104,PLT-01,2025-05-13,493,MT,Late,In-Full,1
GRN-5166,PO-1166,SUP-014,MAT-104,PLT-05,2025-05-02,381,MT,On-Time,In-Full,0
GRN-5167,PO-1167,SUP-014,MAT-104,PLT-05,2025-05-12,542,MT,On-Time,In-Full,0
GRN-5168,PO-1168,SUP-001,MAT-101,PLT-06,2025-05-28,98,MT,On-Time,In-Full,0
GRN-5169,PO-1169,SUP-001,MAT-101,PLT-04,2025-05-21,340,MT,On-Time,In-Full,0
GRN-5170,PO-1170,SUP-001,MAT-101,PLT-03,2025-05-31,145,MT,On-Time,In-Full,0
GRN-5171,PO-1171,SUP-001,MAT-101,PLT-04,2025-05-28,149,MT,On-Time,In-Full,0
GRN-5172,PO-1172,SUP-002,MAT-102,PLT-05,2025-06-11,281,MT,On-Time,In-Full,0
GRN-5173,PO-1173,SUP-002,MAT-102,PLT-06,2025-06-14,241,MT,On-Time,In-Full,0
GRN-5174,PO-1174,SUP-002,MAT-102,PLT-05,2025-05-28,429,MT,On-Time,In-Full,0
GRN-5175,PO-1175,SUP-003,MAT-103,PLT-03,2025-05-27,478,MT,On-Time,In-Full,0
GRN-5176,PO-1176,SUP-003,MAT-103,PLT-06,2025-06-02,505,MT,On-Time,In-Full,0
GRN-5177,PO-1177,SUP-003,MAT-103,PLT-02,2025-05-30,339,MT,On-Time,In-Full,0
GRN-5178,PO-1178,SUP-003,MAT-103,PLT-01,2025-05-19,437,MT,On-Time,Short,0
GRN-5179,PO-1179,SUP-004,MAT-104,PLT-05,2025-06-14,307,MT,On-Time,In-Full,0
GRN-5180,PO-1180,SUP-004,MAT-104,PLT-05,2025-06-04,505,MT,On-Time,In-Full,0
GRN-5181,PO-1181,SUP-005,MAT-105,PLT-05,2025-05-23,504,MT,On-Time,In-Full,0
GRN-5182,PO-1182,SUP-005,MAT-105,PLT-05,2025-05-25,433,MT,On-Time,In-Full,0
GRN-5183,PO-1183,SUP-006,MAT-102,PLT-02,2025-05-21,101,MT,On-Time,In-Full,0
GRN-5184,PO-1184,SUP-006,MAT-102,PLT-06,2025-06-06,322,MT,On-Time,In-Full,0
GRN-5185,PO-1185,SUP-007,MAT-101,PLT-03,2025-05-28,423,MT,On-Time,Short,0
GRN-5186,PO-1186,SUP-007,MAT-101,PLT-03,2025-05-31,386,MT,On-Time,In-Full,0
GRN-5187,PO-1187,SUP-007,MAT-101,PLT-05,2025-06-09,151,MT,On-Time,In-Full,0
GRN-5188,PO-1188,SUP-008,MAT-106,PLT-05,2025-05-28,338,MT,On-Time,In-Full,0
GRN-5189,PO-1189,SUP-008,MAT-106,PLT-05,2025-06-06,306,MT,On-Time,Short,0
GRN-5190,PO-1190,SUP-008,MAT-106,PLT-02,2025-06-08,339,MT,On-Time,In-Full,0
GRN-5191,PO-1191,SUP-008,MAT-106,PLT-05,2025-06-02,536,MT,On-Time,Short,0
GRN-5192,PO-1192,SUP-009,MAT-108,PLT-04,2025-06-05,355,KG,Late,In-Full,5
GRN-5193,PO-1193,SUP-009,MAT-107,PLT-04,2025-05-13,923,KG,On-Time,In-Full,0
GRN-5194,PO-1194,SUP-009,MAT-108,PLT-01,2025-06-06,1362,KG,On-Time,Short,0
GRN-5195,PO-1195,SUP-009,MAT-108,PLT-04,2025-06-11,1039,KG,On-Time,In-Full,0
GRN-5196,PO-1196,SUP-010,MAT-103,PLT-06,2025-06-12,142,MT,On-Time,In-Full,0
GRN-5197,PO-1197,SUP-010,MAT-103,PLT-06,2025-06-23,344,MT,On-Time,In-Full,0
GRN-5198,PO-1198,SUP-011,MAT-105,PLT-05,2025-05-24,141,MT,On-Time,In-Full,0
GRN-5199,PO-1199,SUP-011,MAT-105,PLT-05,2025-05-18,280,MT,On-Time,In-Full,0
GRN-5200,PO-1200,SUP-012,MAT-110,PLT-05,2025-06-03,431,KG,On-Time,In-Full,0
GRN-5201,PO-1201,SUP-012,MAT-110,PLT-05,2025-05-19,393,KG,On-Time,In-Full,0
GRN-5202,PO-1202,SUP-012,MAT-110,PLT-03,2025-06-08,561,KG,On-Time,In-Full,0
GRN-5203,PO-1203,SUP-013,MAT-101,PLT-01,2025-06-08,269,MT,Late,In-Full,9
GRN-5204,PO-1204,SUP-013,MAT-101,PLT-01,2025-06-27,423,MT,Late,In-Full,8
GRN-5205,PO-1205,SUP-013,MAT-101,PLT-01,2025-05-25,247,MT,On-Time,In-Full,0
GRN-5206,PO-1206,SUP-014,MAT-104,PLT-04,2025-06-15,329,MT,On-Time,In-Full,0
GRN-5207,PO-1207,SUP-014,MAT-104,PLT-01,2025-06-12,499,MT,On-Time,In-Full,0
GRN-5208,PO-1208,SUP-014,MAT-104,PLT-02,2025-06-08,184,MT,On-Time,In-Full,0
GRN-5209,PO-1209,SUP-001,MAT-101,PLT-03,2025-06-19,593,MT,On-Time,In-Full,0
GRN-5210,PO-1210,SUP-001,MAT-101,PLT-05,2025-07-21,436,MT,On-Time,In-Full,0
GRN-5211,PO-1211,SUP-001,MAT-101,PLT-05,2025-06-23,454,MT,On-Time,In-Full,0
GRN-5212,PO-1212,SUP-002,MAT-102,PLT-03,2025-06-21,197,MT,On-Time,In-Full,0
GRN-5213,PO-1213,SUP-002,MAT-102,PLT-04,2025-07-07,498,MT,On-Time,In-Full,0
GRN-5214,PO-1214,SUP-002,MAT-102,PLT-05,2025-06-23,513,MT,On-Time,In-Full,0
GRN-5215,PO-1215,SUP-003,MAT-103,PLT-02,2025-06-17,204,MT,On-Time,In-Full,0
GRN-5216,PO-1216,SUP-003,MAT-103,PLT-05,2025-07-16,156,MT,On-Time,In-Full,0
GRN-5217,PO-1217,SUP-004,MAT-104,PLT-06,2025-06-24,458,MT,On-Time,In-Full,0
GRN-5218,PO-1218,SUP-004,MAT-104,PLT-04,2025-07-04,218,MT,On-Time,In-Full,0
GRN-5219,PO-1219,SUP-005,MAT-105,PLT-03,2025-07-05,244,MT,Late,In-Full,4
GRN-5220,PO-1220,SUP-005,MAT-105,PLT-05,2025-07-20,412,MT,On-Time,Short,0
GRN-5221,PO-1221,SUP-005,MAT-105,PLT-04,2025-07-04,275,MT,On-Time,Short,0
GRN-5222,PO-1222,SUP-006,MAT-102,PLT-04,2025-06-26,444,MT,On-Time,In-Full,0
GRN-5223,PO-1223,SUP-006,MAT-102,PLT-05,2025-07-13,92,MT,On-Time,In-Full,0
GRN-5224,PO-1224,SUP-006,MAT-102,PLT-05,2025-07-06,247,MT,On-Time,Short,0
GRN-5225,PO-1225,SUP-006,MAT-102,PLT-03,2025-06-25,144,MT,On-Time,In-Full,0
GRN-5226,PO-1226,SUP-007,MAT-101,PLT-01,2025-06-26,463,MT,On-Time,In-Full,0
GRN-5227,PO-1227,SUP-007,MAT-101,PLT-02,2025-07-01,124,MT,On-Time,In-Full,0
GRN-5228,PO-1228,SUP-007,MAT-101,PLT-04,2025-07-10,329,MT,On-Time,Short,0
GRN-5229,PO-1229,SUP-008,MAT-106,PLT-05,2025-07-19,482,MT,On-Time,In-Full,0
GRN-5230,PO-1230,SUP-008,MAT-106,PLT-06,2025-07-16,242,MT,On-Time,Short,0
GRN-5231,PO-1231,SUP-008,MAT-106,PLT-01,2025-07-19,520,MT,On-Time,In-Full,0
GRN-5232,PO-1232,SUP-009,MAT-108,PLT-03,2025-07-01,563,KG,On-Time,Short,0
GRN-5233,PO-1233,SUP-009,MAT-108,PLT-05,2025-06-27,208,KG,On-Time,Short,0
GRN-5234,PO-1234,SUP-010,MAT-103,PLT-04,2025-07-02,372,MT,On-Time,In-Full,0
GRN-5235,PO-1235,SUP-010,MAT-103,PLT-01,2025-06-27,534,MT,On-Time,In-Full,0
GRN-5236,PO-1236,SUP-010,MAT-103,PLT-01,2025-07-01,153,MT,Late,Short,7
GRN-5237,PO-1237,SUP-010,MAT-103,PLT-04,2025-07-18,314,MT,On-Time,In-Full,0
GRN-5238,PO-1238,SUP-011,MAT-105,PLT-03,2025-07-13,162,MT,On-Time,Short,0
GRN-5239,PO-1239,SUP-011,MAT-105,PLT-04,2025-07-13,470,MT,On-Time,Short,0
GRN-5240,PO-1240,SUP-012,MAT-110,PLT-04,2025-06-28,683,KG,On-Time,In-Full,0
GRN-5241,PO-1241,SUP-012,MAT-110,PLT-03,2025-06-13,688,KG,On-Time,In-Full,0
GRN-5242,PO-1242,SUP-013,MAT-101,PLT-05,2025-07-05,513,MT,On-Time,In-Full,0
GRN-5243,PO-1243,SUP-013,MAT-101,PLT-05,2025-07-12,535,MT,Late,In-Full,11
GRN-5244,PO-1244,SUP-013,MAT-101,PLT-01,2025-06-28,84,MT,On-Time,In-Full,0
GRN-5245,PO-1245,SUP-013,MAT-101,PLT-06,2025-07-03,525,MT,On-Time,In-Full,0
GRN-5246,PO-1246,SUP-014,MAT-104,PLT-01,2025-07-02,401,MT,On-Time,Short,0
GRN-5247,PO-1247,SUP-014,MAT-104,PLT-03,2025-07-07,436,MT,On-Time,In-Full,0
GRN-5248,PO-1248,SUP-001,MAT-101,PLT-02,2025-07-27,326,MT,On-Time,In-Full,0
GRN-5249,PO-1249,SUP-001,MAT-101,PLT-02,2025-07-23,172,MT,On-Time,In-Full,0
GRN-5250,PO-1250,SUP-001,MAT-101,PLT-03,2025-07-24,234,MT,On-Time,In-Full,0
GRN-5251,PO-1251,SUP-002,MAT-102,PLT-03,2025-08-18,96,MT,On-Time,In-Full,0
GRN-5252,PO-1252,SUP-002,MAT-102,PLT-02,2025-07-29,233,MT,On-Time,In-Full,0
