movement_id,movement_date,plant_id,material_id,movement_type,quantity,unit_of_measure,ref_grn_id
MOV-700047,2025-02-18,PLT-05,MAT-102,Receipt,597.0,MT,GRN-5046
MOV-700048,2025-02-26,PLT-01,MAT-102,Receipt,80.0,MT,GRN-5047
MOV-700049,2025-02-22,PLT-06,MAT-103,Receipt,197.0,MT,GRN-5048
MOV-700050,2025-02-17,PLT-05,MAT-103,Receipt,154.0,MT,GRN-5049
MOV-700051,2025-03-10,PLT-01,MAT-103,Receipt,245.0,MT,GRN-5050
MOV-700052,2025-03-03,PLT-02,MAT-104,Receipt,132.0,MT,GRN-5051
MOV-700053,2025-02-17,PLT-04,MAT-104,Receipt,439.0,MT,GRN-5052
MOV-700054,2025-03-07,PLT-06,MAT-105,Receipt,592.0,MT,GRN-5053
MOV-700055,2025-03-26,PLT-02,MAT-105,Receipt,328.0,MT,GRN-5054
MOV-700056,2025-03-18,PLT-05,MAT-102,Receipt,382.0,MT,GRN-5055
MOV-700057,2025-02-24,PLT-04,MAT-102,Receipt,353.0,MT,GRN-5056
MOV-700058,2025-02-28,PLT-03,MAT-102,Receipt,312.0,MT,GRN-5057
MOV-700059,2025-03-03,PLT-04,MAT-102,Receipt,504.0,MT,GRN-5058
MOV-700060,2025-03-16,PLT-06,MAT-101,Receipt,582.0,MT,GRN-5059
MOV-700061,2025-03-12,PLT-04,MAT-101,Receipt,302.0,MT,GRN-5060
MOV-700062,2025-03-10,PLT-03,MAT-101,Receipt,471.0,MT,GRN-5061
MOV-700063,2025-02-16,PLT-05,MAT-106,Receipt,218.0,MT,GRN-5062
MOV-700064,2025-03-01,PLT-01,MAT-106,Receipt,398.0,MT,GRN-5063
MOV-700065,2025-02-28,PLT-04,MAT-106,Receipt,592.0,MT,GRN-5064
MOV-700066,2025-03-10,PLT-03,MAT-107,Receipt,251.0,KG,GRN-5065
MOV-700067,2025-02-25,PLT-01,MAT-107,Receipt,1448.0,KG,GRN-5066
MOV-700068,2025-02-19,PLT-05,MAT-103,Receipt,368.0,MT,GRN-5067
MOV-700069,2025-02-28,PLT-02,MAT-103,Receipt,596.0,MT,GRN-5068
MOV-700070,2025-03-04,PLT-04,MAT-103,Receipt,209.0,MT,GRN-5069
MOV-700071,2025-03-02,PLT-02,MAT-103,Receipt,381.0,MT,GRN-5070
MOV-700072,2025-03-12,PLT-05,MAT-105,Receipt,199.0,MT,GRN-5071
MOV-700073,2025-03-26,PLT-01,MAT-105,Receipt,388.0,MT,GRN-5072
MOV-700074,2025-03-09,PLT-02,MAT-110,Receipt,674.0,KG,GRN-5073
MOV-700075,2025-03-14,PLT-01,MAT-110,Receipt,484.0,KG,GRN-5074
MOV-700076,2025-03-06,PLT-01,MAT-110,Receipt,541.0,KG,GRN-5075
MOV-700077,2025-03-18,PLT-05,MAT-109,Receipt,523.0,EA,GRN-5076
MOV-700078,2025-02-19,PLT-03,MAT-101,Receipt,343.0,MT,GRN-5077
MOV-700079,2025-03-08,PLT-04,MAT-101,Receipt,257.0,MT,GRN-5078
MOV-700080,2025-03-29,PLT-04,MAT-101,Receipt,297.0,MT,GRN-5079
MOV-700081,2025-03-16,PLT-02,MAT-104,Receipt,230.0,MT,GRN-5080
MOV-700082,2025-02-20,PLT-04,MAT-104,Receipt,323.0,MT,GRN-5081
MOV-700083,2025-03-18,PLT-02,MAT-104,Receipt,237.0,MT,GRN-5082
MOV-700084,2025-03-06,PLT-01,MAT-104,Receipt,438.0,MT,GRN-5083
MOV-700085,2025-03-27,PLT-06,MAT-101,Receipt,113.0,MT,GRN-5084
MOV-700086,2025-04-16,PLT-06,MAT-101,Receipt,247.0,MT,GRN-5085
MOV-700087,2025-04-01,PLT-04,MAT-102,Receipt,442.0,MT,GRN-5086
MOV-700088,2025-04-17,PLT-03,MAT-102,Receipt,306.0,MT,GRN-5087
MOV-700089,2025-04-01,PLT-05,MAT-102,Receipt,561.0,MT,GRN-5088
MOV-700090,2025-04-08,PLT-02,MAT-103,Receipt,99.0,MT,GRN-5089
MOV-700091,2025-04-07,PLT-01,MAT-103,Receipt,91.0,MT,GRN-5090
MOV-700092,2025-04-04,PLT-03,MAT-103,Receipt,568.0,MT,GRN-5091
MOV-700093,2025-04-16,PLT-01,MAT-103,Receipt,577.0,MT,GRN-5092
MOV-700094,2025-03-25,PLT-03,MAT-104,Receipt,267.0,MT,GRN-5093
MOV-700095,2025-03-23,PLT-01,MAT-104,Receipt,95.0,MT,GRN-5094
MOV-700096,2025-04-16,PLT-03,MAT-104,Receipt,118.0,MT,GRN-5095
MOV-700097,2025-03-25,PLT-04,MAT-105,Receipt,468.0,MT,GRN-5096
MOV-700098,2025-03-25,PLT-05,MAT-105,Receipt,478.0,MT,GRN-5097
MOV-700099,2025-04-06,PLT-02,MAT-105,Receipt,232.0,MT,GRN-5098
MOV-700100,2025-04-05,PLT-02,MAT-105,Receipt,572.0,MT,GRN-5099
MOV-700101,2025-04-19,PLT-02,MAT-102,Receipt,498.0,MT,GRN-5100
MOV-700102,2025-03-21,PLT-06,MAT-102,Receipt,436.0,MT,GRN-5101
MOV-700103,2025-03-30,PLT-03,MAT-102,Receipt,305.0,MT,GRN-5102
MOV-700104,2025-04-08,PLT-03,MAT-102,Receipt,119.0,MT,GRN-5103
MOV-700105,2025-04-04,PLT-05,MAT-101,Receipt,110.0,MT,GRN-5104
MOV-700106,2025-04-04,PLT-02,MAT-101,Receipt,303.0,MT,GRN-5105
MOV-700107,2025-03-26,PLT-06,MAT-101,Receipt,501.0,MT,GRN-5106
MOV-700108,2025-04-14,PLT-06,MAT-101,Receipt,101.0,MT,GRN-5107
MOV-700109,2025-04-08,PLT-05,MAT-106,Receipt,112.0,MT,GRN-5108
MOV-700110,2025-04-07,PLT-05,MAT-106,Receipt,236.0,MT,GRN-5109
MOV-700111,2025-04-07,PLT-05,MAT-106,Receipt,382.0,MT,GRN-5110
MOV-700112,2025-03-31,PLT-01,MAT-106,Receipt,350.0,MT,GRN-5111
MOV-700113,2025-04-18,PLT-04,MAT-108,Receipt,1098.0,KG,GRN-5112
MOV-700114,2025-03-28,PLT-01,MAT-108,Receipt,316.0,KG,GRN-5113
MOV-700115,2025-03-26,PLT-06,MAT-103,Receipt,90.0,MT,GRN-5114
MOV-700116,2025-03-26,PLT-06,MAT-103,Receipt,165.0,MT,GRN-5115
MOV-700117,2025-03-17,PLT-01,MAT-103,Receipt,195.0,MT,GRN-5116
MOV-700118,2025-03-24,PLT-03,MAT-103,Receipt,396.0,MT,GRN-5117
MOV-700119,2025-04-24,PLT-03,MAT-105,Receipt,462.0,MT,GRN-5118
MOV-700120,2025-04-04,PLT-05,MAT-105,Receipt,322.0,MT,GRN-5119
MOV-700121,2025-03-25,PLT-04,MAT-105,Receipt,103.0,MT,GRN-5120
MOV-700122,2025-04-13,PLT-04,MAT-105,Receipt,443.0,MT,GRN-5121
MOV-700123,2025-03-24,PLT-02,MAT-109,Receipt,345.0,EA,GRN-5122
MOV-700124,2025-03-20,PLT-06,MAT-110,Receipt,574.0,KG,GRN-5123
MOV-700125,2025-03-14,PLT-02,MAT-110,Receipt,1090.0,KG,GRN-5124
MOV-700126,2025-03-31,PLT-03,MAT-101,Receipt,349.0,MT,GRN-5125
MOV-700127,2025-04-19,PLT-03,MAT-101,Receipt,248.0,MT,GRN-5126
MOV-700128,2025-03-20,PLT-05,MAT-101,Receipt,80.0,MT,GRN-5127
MOV-700129,2025-04-09,PLT-03,MAT-104,Receipt,205.0,MT,GRN-5128
MOV-700130,2025-03-20,PLT-02,MAT-104,Receipt,420.0,MT,GRN-5129
MOV-700131,2025-04-13,PLT-01,MAT-104,Receipt,424.0,MT,GRN-5130
MOV-700132,2025-04-17,PLT-05,MAT-101,Receipt,238.0,MT,GRN-5131
MOV-700133,2025-04-25,PLT-05,MAT-101,Receipt,410.0,MT,GRN-5132
MOV-700134,2025-04-24,PLT-01,MAT-102,Receipt,384.0,MT,GRN-5133
MOV-700135,2025-05-06,PLT-03,MAT-102,Receipt,164.0,MT,GRN-5134
MOV-700136,2025-05-13,PLT-06,MAT-103,Receipt,577.0,MT,GRN-5135
MOV-700137,2025-04-29,PLT-04,MAT-103,Receipt,220.0,MT,GRN-5136
MOV-700138,2025-04-28,PLT-05,MAT-103,Receipt,169.0,MT,GRN-5137
MOV-700139,2025-05-03,PLT-02,MAT-103,Receipt,524.0,MT,GRN-5138
MOV-700140,2025-04-27,PLT-06,MAT-104,Receipt,197.0,MT,GRN-5139
MOV-700141,2025-05-02,PLT-02,MAT-104,Receipt,372.0,MT,GRN-5140
MOV-700142,2025-05-03,PLT-01,MAT-104,Receipt,562.0,MT,GRN-5141
MOV-700143,2025-04-14,PLT-02,MAT-104,Receipt,156.0,MT,GRN-5142
MOV-700144,2025-04-26,PLT-04,MAT-105,Receipt,381.0,MT,GRN-5143
MOV-700145,2025-04-16,PLT-06,MAT-105,Receipt,504.0,MT,GRN-5144
MOV-700146,2025-04-25,PLT-02,MAT-105,Receipt,338.0,MT,GRN-5145
MOV-700147,2025-05-07,PLT-02,MAT-105,Receipt,525.0,MT,GRN-5146
MOV-700148,2025-05-05,PLT-05,MAT-102,Receipt,327.0,MT,GRN-5147
MOV-700149,2025-04-27,PLT-04,MAT-102,Receipt,579.0,MT,GRN-5148
MOV-700150,2025-04-18,PLT-01,MAT-102,Receipt,259.0,MT,GRN-5149
MOV-700151,2025-05-03,PLT-02,MAT-101,Receipt,508.0,MT,GRN-5150
MOV-700152,2025-05-18,PLT-05,MAT-101,Receipt,209.0,MT,GRN-5151
MOV-700153,2025-04-15,PLT-06,MAT-101,Receipt,317.0,MT,GRN-5152
MOV-700154,2025-04-22,PLT-06,MAT-106,Receipt,526.0,MT,GRN-5153
MOV-700155,2025-05-11,PLT-06,MAT-106,Receipt,332.0,MT,GRN-5154
MOV-700156,2025-05-03,PLT-04,MAT-108,Receipt,1019.0,KG,GRN-5155
MOV-700157,2025-04-30,PLT-06,MAT-107,Receipt,1406.0,KG,GRN-5156
MOV-700158,2025-05-02,PLT-05,MAT-103,Receipt,321.0,MT,GRN-5157
MOV-700159,2025-05-02,PLT-04,MAT-103,Receipt,306.0,MT,GRN-5158
MOV-700160,2025-05-05,PLT-02,MAT-105,Receipt,108.0,MT,GRN-5159
MOV-700161,2025-04-22,PLT-05,MAT-105,Receipt,546.0,MT,GRN-5160
MOV-700162,2025-05-10,PLT-05,MAT-110,Receipt,565.0,KG,GRN-5161
MOV-700163,2025-05-12,PLT-04,MAT-110,Receipt,1446.0,KG,GRN-5162
MOV-700164,2025-05-10,PLT-02,MAT-101,Receipt,198.0,MT,GRN-5163
MOV-700165,2025-04-22,PLT-05,MAT-101,Receipt,239.0,MT,GRN-5164
MOV-700166,2025-05-13,PLT-01,MAT-104,Receipt,493.0,MT,GRN-5165
MOV-700167,2025-05-02,PLT-05,MAT-104,Receipt,381.0,MT,GRN-5166
MOV-700168,2025-05-12,PLT-05,MAT-104,Receipt,542.0,MT,GRN-5167
MOV-700169,2025-05-28,PLT-06,MAT-101,Receipt,98.0,MT,GRN-5168
MOV-700170,2025-05-21,PLT-04,MAT-101,Receipt,340.0,MT,GRN-5169
MOV-700171,2025-05-31,PLT-03,MAT-101,Receipt,145.0,MT,GRN-5170
MOV-700172,2025-05-28,PLT-04,MAT-101,Receipt,149.0,MT,GRN-5171
MOV-700173,2025-06-11,PLT-05,MAT-102,Receipt,281.0,MT,GRN-5172
MOV-700174,2025-06-14,PLT-06,MAT-102,Receipt,241.0,MT,GRN-5173
MOV-700175,2025-05-28,PLT-05,MAT-102,Receipt,429.0,MT,GRN-5174
MOV-700176,2025-05-27,PLT-03,MAT-103,Receipt,478.0,MT,GRN-5175
MOV-700177,2025-06-02,PLT-06,MAT-103,Receipt,505.0,MT,GRN-5176
MOV-700178,2025-05-30,PLT-02,MAT-103,Receipt,339.0,MT,GRN-5177
MOV-700179,2025-05-19,PLT-01,MAT-103,Receipt,437.0,MT,GRN-5178
MOV-700180,2025-06-14,PLT-05,MAT-104,Receipt,307.0,MT,GRN-5179
MOV-700181,2025-06-04,PLT-05,MAT-104,Receipt,505.0,MT,GRN-5180
MOV-700182,2025-05-23,PLT-05,MAT-105,Receipt,504.0,MT,GRN-5181
MOV-700183,2025-05-25,PLT-05,MAT-105,Receipt,433.0,MT,GRN-5182
MOV-700184,2025-05-21,PLT-02,MAT-102,Receipt,101.0,MT,GRN-5183
MOV-700185,2025-06-06,PLT-06,MAT-102,Receipt,322.0,MT,GRN-5184
MOV-700186,2025-05-28,PLT-03,MAT-101,Receipt,423.0,MT,GRN-5185
MOV-700187,2025-05-31,PLT-03,MAT-101,Receipt,386.0,MT,GRN-5186
MOV-700188,2025-06-09,PLT-05,MAT-101,Receipt,151.0,MT,GRN-5187
MOV-700189,2025-05-28,PLT-05,MAT-106,Receipt,338.0,MT,GRN-5188
MOV-700190,2025-06-06,PLT-05,MAT-106,Receipt,306.0,MT,GRN-5189
MOV-700191,2025-06-08,PLT-02,MAT-106,Receipt,339.0,MT,GRN-5190
MOV-700192,2025-06-02,PLT-05,MAT-106,Receipt,536.0,MT,GRN-5191
MOV-700193,2025-06-05,PLT-04,MAT-108,Receipt,355.0,KG,GRN-5192
MOV-700194,2025-05-13,PLT-04,MAT-107,Receipt,923.0,KG,GRN-5193
MOV-700195,2025-06-06,PLT-01,MAT-108,Receipt,1362.0,KG,GRN-5194
MOV-700196,2025-06-11,PLT-04,MAT-108,Receipt,1039.0,KG,GRN-5195
MOV-700197,2025-06-12,PLT-06,MAT-103,Receipt,142.0,MT,GRN-5196
MOV-700198,2025-06-23,PLT-06,MAT-103,Receipt,344.0,MT,GRN-5197
MOV-700199,2025-05-24,PLT-05,MAT-105,Receipt,141.0,MT,GRN-5198
MOV-700200,2025-05-18,PLT-05,MAT-105,Receipt,280.0,MT,GRN-5199
MOV-700201,2025-06-03,PLT-05,MAT-110,Receipt,431.0,KG,GRN-5200
MOV-700202,2025-05-19,PLT-05,MAT-110,Receipt,393.0,KG,GRN-5201
MOV-700203,2025-06-08,PLT-03,MAT-110,Receipt,561.0,KG,GRN-5202
MOV-700204,2025-06-08,PLT-01,MAT-101,Receipt,269.0,MT,GRN-5203
MOV-700205,2025-06-27,PLT-01,MAT-101,Receipt,423.0,MT,GRN-5204
MOV-700206,2025-05-25,PLT-01,MAT-101,Receipt,247.0,MT,GRN-5205
MOV-700207,2025-06-15,PLT-04,MAT-104,Receipt,329.0,MT,GRN-5206
MOV-700208,2025-06-12,PLT-01,MAT-104,Receipt,499.0,MT,GRN-5207
MOV-700209,2025-06-08,PLT-02,MAT-104,Receipt,184.0,MT,GRN-5208
MOV-700210,2025-06-19,PLT-03,MAT-101,Receipt,593.0,MT,GRN-5209
MOV-700211,2025-07-21,PLT-05,MAT-101,Receipt,436.0,MT,GRN-5210
MOV-700212,2025-06-23,PLT-05,MAT-101,Receipt,454.0,MT,GRN-5211
MOV-700213,2025-06-21,PLT-03,MAT-102,Receipt,197.0,MT,GRN-5212
MOV-700214,2025-07-07,PLT-04,MAT-102,Receipt,498000.0,MT,GRN-5213
MOV-700215,2025-06-23,PLT-05,MAT-102,Receipt,513.0,MT,GRN-5214
MOV-700216,2025-06-17,PLT-02,MAT-103,Receipt,204.0,MT,GRN-5215
MOV-700217,2025-07-16,PLT-05,MAT-103,Receipt,156.0,MT,GRN-5216
MOV-700218,2025-06-24,PLT-06,MAT-104,Receipt,458.0,MT,GRN-5217
MOV-700219,2025-07-04,PLT-04,MAT-104,Receipt,218.0,MT,GRN-5218
MOV-700220,2025-07-05,PLT-03,MAT-105,Receipt,244.0,MT,GRN-5219
MOV-700221,2025-07-20,PLT-05,MAT-105,Receipt,412.0,MT,GRN-5220
MOV-700222,2025-07-04,PLT-04,MAT-105,Receipt,275.0,MT,GRN-5221
MOV-700223,2025-06-26,PLT-04,MAT-102,Receipt,444.0,MT,GRN-5222
MOV-700224,2025-07-13,PLT-05,MAT-102,Receipt,92.0,MT,GRN-5223
MOV-700225,2025-07-06,PLT-05,MAT-102,Receipt,247.0,MT,GRN-5224
MOV-700226,2025-06-25,PLT-03,MAT-102,Receipt,144.0,MT,GRN-5225
MOV-700227,2025-06-26,PLT-01,MAT-101,Receipt,463.0,MT,GRN-5226
MOV-700228,2025-07-01,PLT-02,MAT-101,Receipt,124.0,MT,GRN-5227
MOV-700229,2025-07-10,PLT-04,MAT-101,Receipt,329.0,MT,GRN-5228
MOV-700230,2025-07-19,PLT-05,MAT-106,Receipt,482.0,MT,GRN-5229
MOV-700231,2025-07-16,PLT-06,MAT-106,Receipt,242.0,MT,GRN-5230
MOV-700232,2025-07-19,PLT-01,MAT-106,Receipt,520.0,MT,GRN-5231
MOV-700233,2025-07-01,PLT-03,MAT-108,Receipt,563.0,KG,GRN-5232
MOV-700234,2025-06-27,PLT-05,MAT-108,Receipt,208.0,KG,GRN-5233
MOV-700235,2025-07-02,PLT-04,MAT-103,Receipt,372.0,MT,GRN-5234
MOV-700236,2025-06-27,PLT-01,MAT-103,Receipt,534.0,MT,GRN-5235
MOV-700237,2025-07-01,PLT-01,MAT-103,Receipt,153.0,MT,GRN-5236
MOV-700238,2025-07-18,PLT-04,MAT-103,Receipt,314.0,MT,GRN-5237
MOV-700239,2025-07-13,PLT-03,MAT-105,Receipt,162.0,MT,GRN-5238
MOV-700240,2025-07-13,PLT-04,MAT-105,Receipt,470.0,MT,GRN-5239
MOV-700241,2025-06-28,PLT-04,MAT-110,Receipt,683.0,KG,GRN-5240
MOV-700242,2025-06-13,PLT-03,MAT-110,Receipt,688.0,KG,GRN-5241
MOV-700243,2025-07-05,PLT-05,MAT-101,Receipt,513.0,MT,GRN-5242
MOV-700244,2025-07-12,PLT-05,MAT-101,Receipt,535.0,MT,GRN-5243
MOV-700245,2025-06-28,PLT-01,MAT-101,Receipt,84.0,MT,GRN-5244
MOV-700246,2025-07-03,PLT-06,MAT-101,Receipt,525.0,MT,GRN-5245
MOV-700247,2025-07-02,PLT-01,MAT-104,Receipt,401.0,MT,GRN-5246
MOV-700248,2025-07-07,PLT-03,MAT-104,Receipt,436.0,MT,GRN-5247
MOV-700249,2025-07-27,PLT-02,MAT-101,Receipt,326.0,MT,GRN-5248
MOV-700250,2025-07-23,PLT-02,MAT-101,Receipt,172.0,MT,GRN-5249
MOV-700251,2025-07-24,PLT-03,MAT-101,Receipt,234.0,MT,GRN-5250
MOV-700252,2025-08-18,PLT-03,MAT-102,Receipt,96.0,MT,GRN-5251
MOV-700253,2025-07-29,PLT-02,MAT-102,Receipt,233.0,MT,GRN-5252
MOV-700254,2025-08-16,PLT-03,MAT-103,Receipt,178.0,MT,GRN-5253
MOV-700255,2025-07-30,PLT-04,MAT-103,Receipt,163.0,MT,GRN-5254
MOV-700256,2025-08-04,PLT-03,MAT-104,Receipt,119.0,MT,GRN-5255
MOV-700257,2025-07-20,PLT-05,MAT-104,Receipt,333.0,MT,GRN-5256
MOV-700258,2025-07-28,PLT-05,MAT-104,Receipt,291.0,MT,GRN-5257
MOV-700259,2025-08-14,PLT-05,MAT-104,Receipt,,MT,GRN-5258
MOV-700260,2025-07-20,PLT-02,MAT-105,Receipt,281.0,MT,GRN-5259
MOV-700261,2025-07-20,PLT-04,MAT-105,Receipt,515.0,MT,GRN-5260
MOV-700262,2025-08-10,PLT-06,MAT-105,Receipt,80.0,MT,GRN-5261
MOV-700263,2025-08-12,PLT-06,MAT-105,Receipt,311.0,MT,GRN-5262
MOV-700264,2025-07-24,PLT-03,MAT-102,Receipt,122.0,MT,GRN-5263
MOV-700265,2025-07-30,PLT-03,MAT-102,Receipt,247.0,MT,GRN-5264
MOV-700266,2025-08-16,PLT-06,MAT-101,Receipt,365.0,MT,GRN-5265
MOV-700267,2025-07-25,PLT-01,MAT-101,Receipt,91.0,MT,GRN-5266
MOV-700268,2025-08-19,PLT-03,MAT-101,Receipt,112.0,MT,GRN-5267
MOV-700269,2025-08-26,PLT-04,MAT-106,Receipt,400.0,MT,GRN-5268
MOV-700270,2025-08-07,PLT-06,MAT-106,Receipt,404.0,MT,GRN-5269
MOV-700271,2025-08-12,PLT-02,MAT-108,Receipt,196.0,KG,GRN-5270
MOV-700272,2025-08-03,PLT-02,MAT-107,Receipt,1001.0,KG,GRN-5271
MOV-700273,2025-07-23,PLT-03,MAT-108,Receipt,1067.0,KG,GRN-5272
MOV-700274,2025-08-04,PLT-06,MAT-103,Receipt,449.0,MT,GRN-5273
MOV-700275,2025-07-28,PLT-03,MAT-103,Receipt,327.0,MT,GRN-5274
MOV-700276,2025-07-27,PLT-01,MAT-103,Receipt,445.0,MT,GRN-5275
MOV-700277,2025-07-26,PLT-02,MAT-105,Receipt,417.0,MT,GRN-5276
MOV-700278,2025-08-25,PLT-02,MAT-105,Receipt,152.0,MT,GRN-5277
MOV-700279,2025-08-02,PLT-04,MAT-105,Receipt,414.0,MT,GRN-5278
MOV-700280,2025-07-29,PLT-04,MAT-110,Receipt,1352.0,KG,GRN-5279
MOV-700281,2025-07-25,PLT-01,MAT-109,Receipt,554.0,EA,GRN-5280
MOV-700282,2025-08-22,PLT-02,MAT-110,Receipt,260.0,KG,GRN-5281
MOV-700283,2025-08-16,PLT-02,MAT-101,Receipt,229.0,MT,GRN-5282
MOV-700284,2025-07-29,PLT-04,MAT-101,Receipt,550.0,MT,GRN-5283
MOV-700285,2025-07-30,PLT-06,MAT-101,Receipt,368.0,MT,GRN-5284
MOV-700286,2025-08-17,PLT-06,MAT-104,Receipt,206.0,MT,GRN-5285
MOV-700287,2025-08-10,PLT-02,MAT-104,Receipt,528.0,MT,GRN-5286
MOV-700288,2025-08-09,PLT-01,MAT-104,Receipt,324.0,MT,GRN-5287
MOV-700289,2025-07-27,PLT-05,MAT-104,Receipt,272.0,MT,GRN-5288
MOV-700290,2025-09-03,PLT-04,MAT-101,Receipt,152.0,MT,GRN-5289
MOV-700291,2025-09-17,PLT-01,MAT-101,Receipt,508.0,MT,GRN-5290
MOV-700292,2025-09-08,PLT-04,MAT-101,Receipt,364.0,MT,GRN-5291
MOV-700293,2025-09-02,PLT-03,MAT-102,Receipt,285.0,MT,GRN-5292
MOV-700294,2025-09-04,PLT-01,MAT-102,Receipt,427.0,MT,GRN-5293
MOV-700295,2025-08-28,PLT-06,MAT-102,Receipt,559.0,MT,GRN-5294
MOV-700296,2025-09-02,PLT-03,MAT-102,Receipt,569.0,MT,GRN-5295
MOV-700297,2025-09-11,PLT-02,MAT-103,Receipt,379.0,MT,GRN-5296
MOV-700298,2025-09-12,PLT-03,MAT-103,Receipt,301.0,MT,GRN-5297
MOV-700299,2025-08-18,PLT-06,MAT-103,Receipt,419.0,MT,GRN-5298
MOV-700300,2025-09-10,PLT-03,MAT-103,Receipt,596.0,MT,GRN-5299
MOV-700301,2025-08-22,PLT-03,MAT-104,Receipt,355.0,MT,GRN-5300
MOV-700302,2025-09-05,PLT-05,MAT-104,Receipt,538.0,MT,GRN-5301
MOV-700303,2025-09-04,PLT-03,MAT-104,Receipt,521.0,MT,GRN-5302
MOV-700304,2025-09-03,PLT-05,MAT-105,Receipt,355.0,MT,GRN-5303
MOV-700305,2025-09-14,PLT-03,MAT-105,Receipt,192.0,MT,GRN-5304
MOV-700306,2025-09-10,PLT-01,MAT-105,Receipt,590.0,MT,GRN-5305
MOV-700307,2025-09-04,PLT-04,MAT-102,Receipt,301.0,MT,GRN-5306
MOV-700308,2025-09-03,PLT-03,MAT-102,Receipt,229.0,MT,GRN-5307
