date_key,supplier_id,total_deliveries,otd_pct,otif_pct,defect_ppm,lead_time_variance_days,ppv_pct,responsiveness_score,overall_score,supplier_rating,rating_v2
202507,SUP-012,2,100.0,100.0,364.0,1.2,0.5,85,95.5,A - Preferred,D - At Risk
202507,SUP-013,5,80.0,80.0,4826.0,5.5,8.46,55,63.8,C - Conditional,A - Preferred
202507,SUP-014,3,100.0,66.7,483.0,1.2,0.53,85,85.1,A - Preferred,D - At Risk
202508,SUP-002,2,100.0,100.0,163.0,0.4,-2.24,95,100.3,A - Preferred,D - At Risk
202508,SUP-003,2,100.0,100.0,557.0,1.2,0.37,85,95.0,A - Preferred,D - At Risk
202508,SUP-004,3,66.7,66.7,214.0,1.2,0.14,85,86.3,A - Preferred,D - At Risk
202508,SUP-005,2,100.0,50.0,1529.0,2.5,2.68,72,72.7,B - Approved,D - At Risk
202508,SUP-006,1,100.0,100.0,606.0,1.2,-0.07,85,,A - Preferred,A - Preferred
202508,SUP-007,4,1.0,75.0,1698.0,2.5,2.85,72,79.5,B - Approved,D - At Risk
202508,SUP-008,3,33.3,33.3,1122.0,2.5,3.32,72,68.4,C - Conditional,A - Preferred
202508,SUP-009,2,100.0,50.0,5721.0,5.5,-45.66,55,95.4,A - Preferred,D - At Risk
202508,SUP-010,2,0.0,0.0,1269.0,2.5,3.0,72,58.2,C - Conditional,A - Preferred
202508,SUP-011,3,66.7,66.7,4074.0,5.5,7.4,55,62.9,C - Conditional,A - Preferred
202508,SUP-012,2,100.0,100.0,434.0,1.2,-0.38,85,96.0,A - Preferred,D - At Risk
202508,SUP-013,2,100.0,50.0,4418.0,5.5,8.0,55,,C - Conditional,A - Preferred
202508,SUP-014,4,100.0,100.0,366.0,1.2,-0.61,85,96.4,A - Preferred,D - At Risk
202509,SUP-001,4,100.0,75.0,115.0,0.4,-1.74,95,92.5,A - Preferred,D - At Risk
202509,SUP-002,4,100.0,100.0,129.0,0.4,-2.23,95,100.4,A - Preferred,D - At Risk
202509,SUP-003,6,100.0,100.0,478.0,1.2,-0.23,85,95.8,A - Preferred,D - At Risk
202509,SUP-004,5,80.0,80.0,384.0,1.2,0.1,85,89.8,A - Preferred,D - At Risk
202509,SUP-005,3,66.7,66.7,1815.0,2.5,2.97,72,76.6,B - Approved,D - At Risk
202509,SUP-006,2,100.0,100.0,532.0,1.2,-0.55,85,95.8,A - Preferred,D - At Risk
202509,SUP-007,3,66.7,66.7,1453.0,2.5,2.68,72,77.9,B - Approved,D - At Risk
202509,SUP-008,3,100.0,100.0,1416.0,2.5,2.39,72,88.2,A - Preferred,D - At Risk
202509,SUP-009,5,100.0,80.0,5139.0,5.5,-63.96,55,120.8,A - Preferred,D - At Risk
202509,SUP-010,3,66.7,66.7,1514.0,2.5,3.23,72,77.3,B - Approved,D - At Risk
202509,SUP-011,3,66.7,33.3,5443.0,5.5,8.27,55,48.0,D - At Risk,A - Preferred
202509,SUP-012,3,100.0,100.0,395.0,1.2,0.14,85,95.7,A - Preferred,D - At Risk
202509,SUP-555,6,83.3,83.3,3974.0,5.5,8.33,55,67.4,C - Conditional,A - Preferred
202509,SUP-014,2,100.0,100.0,556.0,1.2,0.44,85,95.0,A - Preferred,D - At Risk
202510,SUP-001,5,100.0,100.0,110.0,0.4,-1.8,95,100.1,A - Preferred,D - At Risk
202510,SUP-002,1,100.0,100.0,116.0,0.4,-1.71,95,100.0,A - Preferred,D - At Risk
202510,SUP-003,3,100.0,66.7,502.0,1.2,0.14,85,85.4,A - Preferred,D - At Risk
202510,SUP-004,2,100.0,100.0,386.0,1.2,0.02,85,95.8,A - Preferred,D - At Risk
202510,SUP-005,5,100.0,100.0,1569.0,2.5,3.28,72,87.1,A - Preferred,D - At Risk
202510,SUP-006,4,100.0,100.0,625402.0,1.2,0.29,85,66.8,C - Conditional,A - Preferred
202510,SUP-007,3,66.7,66.7,1308.0,2.5,2.7,72,78.3,B - Approved,D - At Risk
202510,SUP-008,2,100.0,50.0,1370.0,2.5,2.92,72,73.0,B - Approved,D - At Risk
202510,SUP-009,3,100.0,100.0,4895.0,5.5,-99.18,55,155.7,A - Preferred,D - At Risk
202510,SUP-010,5,100.0,100.0,1375.0,2.5,2.9,72,88.0,A - Preferred,D - At Risk
202510,SUP-011,4,75.0,75.0,5125.0,5.5,8.13,55,61.6,C - Conditional,A - Preferred
202510,SUP-012,4,75.0,75.0,520.0,1.2,0.5,85,87.5,A - Preferred,D - At Risk
202510,SUP-013,2,100.0,50.0,4535.0,5.5,7.88,55,56.1,C - Conditional,A - Preferred
202510,SUP-014,4,100.0,100.0,562.0,1.2,0.77,85,94.7,A - Preferred,D - At Risk
202511,SUP-001,2,100.0,100.0,122.0,0.4,-2.34,95,100.5,A - Preferred,D - At Risk
202511,SUP-002,5,100.0,100.0,120.0,0.4,-1.77,95,100.1,A - Preferred,D - At Risk
202511,SUP-003,1,100.0,100.0,523.0,1.2,0.29,85,95.2,A - Preferred,D - At Risk
202511,SUP-004,5,100.0,100.0,439.0,1.2,0.19,85,95.5,A - Preferred,D - At Risk
202511,SUP-005,3,100.0,100.0,918.0,2.5,2.53,72,89.6,A - Preferred,D - At Risk
202511,SUP-006,3,100.0,100.0,438.0,1.2,-0.19,85,95.8,A - Preferred,D - At Risk
202511,SUP-007,4,50.0,50.0,1709.0,2.5,3.66,72,71.3,B - Approved,D - At Risk
202511,SUP-008,1,100.0,100.0,1274.0,2.5,3.58,72,87.7,A - Preferred,D - At Risk
202511,SUP-009,4,50.0,50.0,4607.0,5.5,-100.02,55,142.2,A - Preferred,D - At Risk
202511,SUP-010,3,100.0,100.0,1432.0,2.5,3.47,72,87.3,A - Preferred,D - At Risk
202511,SUP-011,4,100.0,75.0,4136.0,5.5,7.55,55,65.1,C - Conditional,A - Preferred
202511,SUP-012,2,100.0,100.0,475.0,1.2,0.08,85,95.5,A - Preferred,D - At Risk
202511,SUP-013,3,100.0,100.0,3991.0,5.5,8.18,55,72.5,B - Approved,D - At Risk
202511,SUP-014,2,100.0,100.0,441.0,1.2,0.67,85,95.1,A - Preferred,D - At Risk
202512,SUP-001,4,100.0,100.0,119.0,0.4,-1.74,95,100.0,A - Preferred,D - At Risk
202512,SUP-002,2,100.0,100.0,126.0,0.4,-1.52,95,99.8,A - Preferred,D - At Risk
202512,SUP-003,1,100.0,100.0,521.0,1.2,0.11,85,95.3,A - Preferred,D - At Risk
202512,SUP-004,3,100.0,100.0,368.0,1.2,-0.16,85,96.0,A - Preferred,D - At Risk
202512,SUP-005,5,80.0,80.0,1631.0,2.5,2.68,72,81.4,B - Approved,D - At Risk
202512,SUP-006,3,1.0,100.0,434.0,1.2,0.55,85,95.3,A - Preferred,D - At Risk
202512,SUP-007,2,100.0,100.0,1308.0,2.5,2.99,72,88.1,A - Preferred,D - At Risk
202512,SUP-008,5,100.0,80.0,1341.0,2.5,3.18,72,81.8,B - Approved,D - At Risk
202512,SUP-009,2,100.0,100.0,4216.0,5.5,-154.38,55,201.9,A - Preferred,D - At Risk
202512,SUP-010,3,100.0,33.3,1450.0,2.5,3.15,72,67.5,C - Conditional,A - Preferred
202512,SUP-011,3,66.7,66.7,5507.0,5.5,7.48,55,58.5,C - Conditional,A - Preferred
202512,SUP-012,4,100.0,100.0,397.0,1.2,-0.24,85,96.0,A - Preferred,D - At Risk
202512,SUP-013,2,100.0,100.0,5518.0,5.5,8.73,55,67.5,C - Conditional,A - Preferred
202512,SUP-014,4,100.0,100.0,402.0,1.2,-0.1,85,95.9,A - Preferred,D - At Risk
202601,SUP-001,2,100.0,100.0,139.0,0.4,,95,88.6,A - Preferred,D - At Risk
202601,SUP-002,3,100.0,100.0,118.0,0.4,,95,88.6,A - Preferred,D - At Risk
202601,SUP-003,2,50.0,50.0,418.0,1.2,,85,70.7,B - Approved,D - At Risk
202601,SUP-004,1,1.0,100.0,432.0,1.2,,85,85.7,A - Preferred,D - At Risk
202601,SUP-005,1,100.0,100.0,1348.0,2.5,,72,80.4,B - Approved,D - At Risk
202601,SUP-006,2,100.0,100.0,460.0,1.2,,85,85.6,A - Preferred,D - At Risk
202601,SUP-007,2,100.0,100.0,1335.0,2.5,,72,80.4,B - Approved,D - At Risk
202601,SUP-008,1,100.0,100.0,1580.0,2.5,,72,79.7,B - Approved,D - At Risk
202601,SUP-009,3,33.3,33.3,4260.0,5.5,,55,48.2,D - At Risk,A - Preferred
202601,SUP-010,1,100.0,100.0,1780.0,2.5,,72,79.1,B - Approved,D - At Risk
202601,SUP-011,1,100.0,100.0,6272.0,5.5,,55,62.2,C - Conditional,A - Preferred
202601,SUP-013,2,50.0,0.0,4802.0,5.5,,55,36.6,D - At Risk,A - Preferred
202601,SUP-014,1,100.0,100.0,350.0,1.2,,85,,A - Preferred,A - Preferred
202506,SUP-006,2,100.0,100.0,391.0,1.2,0.0,85,100.0,A - Preferred,D - At Risk
202506,SUP-010,3,100.0,100.0,1973.0,2.5,3.05,72,100.0,A - Preferred,D - At Risk
202512,SUP-013,2,100.0,100.0,5518.0,5.5,8.73,55,79.9,A - Preferred,D - At Risk
202601,SUP-002,3,100.0,100.0,118.0,0.4,,95,100.0,A - Preferred,D - At Risk
202509,SUP-007,3,66.7,76.7,1453.0,2.5,2.68,72,95.7,A - Preferred,D - At Risk
202504,SUP-005,5,80.0,70.0,1248.0,2.5,2.77,72,89.8,A - Preferred,D - At Risk
202511,SUP-001,2,100.0,100.0,122.0,0.4,-2.34,95,100.0,A - Preferred,D - At Risk
202506,SUP-007,2,100.0,100.0,1646.0,2.5,3.3,72,95.5,A - Preferred,D - At Risk
