date_key,plant_id,material_id,forecast_demand_qty,actual_consumption_qty,supply_received_qty,unit_of_measure,supply_fill_rate_pct
202502,PLT-05,MAT-110,1383,1350,1280,KG,94.8
202502,PLT-05,MAT-111,652,597,593,MT,99.3
202502,PLT-05,MAT-112,793,884,890,MT,100.0
202502,PLT-06,MAT-101,718,652,661,MT,100.0
202502,PLT-06,MAT-103,247,260,265,MT,100.0
202502,PLT-06,MAT-106,664,634,633,MT,99.8
202502,PLT-06,MAT-107,1476,1477,1569,KG,100.0
202502,PLT-06,MAT-109,257,284,277,EA,97.5
202502,PLT-06,MAT-110,770,800,835,KG,100.0
202502,PLT-06,MAT-112,363,354,352,MT,99.4
202503,PLT-01,MAT-106,246,261,266,MT,100.0
202503,PLT-01,MAT-107,825,834,860,KG,100.0
202503,PLT-01,MAT-108,1635,1680,1612,KG,96.0
202503,PLT-01,MAT-109,673,697,740,EA,100.0
202503,PLT-01,MAT-111,313,292,278,MT,95.2
202503,PLT-01,MAT-112,701,655,629,MT,96.0
202503,PLT-02,MAT-102,663,616,659,MT,100.0
202503,PLT-02,MAT-103,799,781,817,MT,100.0
202503,PLT-02,MAT-104,879,931,961,MT,100.0
202503,PLT-02,MAT-106,860,809,862,MT,100.0
202503,PLT-02,MAT-107,1713,1676,1763,KG,100.0
202503,PLT-02,MAT-111,244,268,251,MT,93.7
202503,PLT-02,MAT-112,556,615,636,MT,100.0
202503,PLT-03,MAT-105,615,634,671,MT,100.0
202503,PLT-03,MAT-109,798,766,802,EA,100.0
202503,PLT-03,MAT-110,1378,1480,1407,KG,95.1
202503,PLT-03,MAT-111,883,875,921,MT,100.0
202503,PLT-03,MAT-112,420,425,455,MT,100.0
202503,PLT-04,MAT-102,479,526,561,MT,100.0
202503,PLT-04,MAT-103,717,685,658,MT,96.1
202503,PLT-04,MAT-106,243,260,258,MT,99.2
202503,PLT-04,MAT-107,906,899,888,KG,98.8
202503,PLT-04,MAT-109,761,739,765,EA,100.0
202503,PLT-04,MAT-111,212,204,200,MT,98.0
202503,PLT-04,MAT-112,440,459,445,MT,96.9
202503,PLT-05,MAT-101,609,579,601,MT,100.0
202503,PLT-05,MAT-102,694,657,679,MT,100.0
202503,PLT-05,MAT-103,341,307,304,MT,99.0
202503,PLT-05,MAT-105,729,723,682,MT,94.3
202503,PLT-05,MAT-108,1779,1882,1963,KG,100.0
202503,PLT-05,MAT-110,777,839,799,KG,95.2
202503,PLT-06,MAT-102,647,685,686,MT,100.0
202503,PLT-06,MAT-103,586,528,488,MT,92.4
202503,PLT-06,MAT-104,416,434,423,MT,97.5
202503,PLT-06,MAT-105,582,567,531,MT,93.7
202503,PLT-06,MAT-107,1627,1492,1389,KG,93.1
202503,PLT-06,MAT-108,1482,1650,1768,KG,100.0
202503,PLT-06,MAT-109,894,813,846,EA,100.0
202503,PLT-06,MAT-112,489,485,507,MT,100.0
202504,PLT-01,MAT-102,302,299,280,MT,93.6
202504,PLT-01,MAT-103,592,539,504,MT,93.5
202504,PLT-01,MAT-104,572,514,479,MT,93.2
202504,PLT-01,MAT-105,679,684,707,MT,100.0
202504,PLT-01,MAT-106,460,508,531,MT,100.0
202504,PLT-01,MAT-109,846,877,945,EA,100.0
202504,PLT-01,MAT-110,1565,1495,1561,KG,100.0
202504,PLT-01,MAT-111,414,374,374,MT,100.0
202504,PLT-02,MAT-101,548,517,516,MT,99.8
202504,PLT-02,MAT-102,729,719,703,MT,97.8
202504,PLT-02,MAT-105,716,663,611,MT,92.2
202504,PLT-02,MAT-106,702,757,800,MT,100.0
202504,PLT-02,MAT-107,900,832,819,KG,98.4
202504,PLT-02,MAT-108,1096,1142,1228,KG,100.0
202504,PLT-02,MAT-110,1845,1692,1708,KG,100.0
202504,PLT-03,MAT-101,443,469,479,MT,100.0
202504,PLT-03,MAT-105,729,683,656,MT,96.0
202504,PLT-03,MAT-108,593,588,594,KG,100.0
202504,PLT-03,MAT-110,991,1086,1138,KG,100.0
202504,PLT-04,MAT-101,533,563,583,MT,100.0
202504,PLT-04,MAT-103,739,785,774,MT,98.6
202504,PLT-04,MAT-106,231,254,259,MT,100.0
202504,PLT-04,MAT-107,1190,1104,1148,KG,100.0
202504,PLT-04,MAT-111,214,205,217,MT,100.0
202504,PLT-04,MAT-112,452,430,435,MT,100.0
202504,PLT-05,MAT-101,200,219,230,MT,100.0
202504,PLT-05,MAT-108,639,670,637,KG,95.1
202504,PLT-05,MAT-110,734,714,687,KG,96.2
202504,PLT-05,MAT-111,585,645,648,MT,100.0
202504,PLT-06,MAT-101,575,611,636,MT,100.0
202504,PLT-06,MAT-102,507,519,517,MT,99.6
202504,PLT-06,MAT-103,621,656,615,MT,93.8
202504,PLT-06,MAT-104,825,919,986,MT,100.0
202504,PLT-06,MAT-109,991,1023,992,EA,97.0
202504,PLT-06,MAT-110,1797,1704,1698,KG,99.6
202504,PLT-06,MAT-111,885,910,975,MT,100.0
202505,PLT-01,MAT-101,213,203,209,MT,100.0
202505,PLT-01,MAT-102,236,251,268,MT,100.0
202505,PLT-01,MAT-104,282,300,318,MT,100.0
202505,PLT-01,MAT-105,655,679,669,MT,98.5
202505,PLT-01,MAT-106,444,425,403,MT,94.8
202505,PLT-01,MAT-108,689,643,685,KG,100.0
202505,PLT-01,MAT-109,952,1061,1080,EA,100.0
202505,PLT-01,MAT-110,994,962,1003,KG,100.0
202505,PLT-01,MAT-111,388,350,338,MT,96.6
202505,PLT-01,MAT-112,754,739,682,MT,92.3
202505,PLT-02,MAT-101,832,876,871,MT,99.4
202505,PLT-02,MAT-102,363,362,377,MT,100.0
202505,PLT-02,MAT-103,588,558,526,MT,94.3
202505,PLT-02,MAT-104,667,674,716,MT,100.0
202505,PLT-02,MAT-105,364,334,325,MT,97.3
202505,PLT-02,MAT-107,1194,1089,1172,KG,100.0
202505,PLT-02,MAT-108,1374,1386,1282,KG,92.5
202505,PLT-02,MAT-109,475,506,483,EA,95.5
202505,PLT-03,MAT-101,379,390,403,MT,100.0
202505,PLT-03,MAT-104,297,289,298,MT,100.0
202505,PLT-03,MAT-107,957,978,944,KG,96.5
202505,PLT-03,MAT-109,440,405,412,EA,100.0
202505,PLT-03,MAT-111,226,247,255,MT,100.0
202505,PLT-04,MAT-101,383,346,354,MT,100.0
202505,PLT-04,MAT-108,445,406,393,KG,96.8
202505,PLT-04,MAT-110,1308,1401,1464,KG,100.0
202505,PLT-04,MAT-111,480,482,457,MT,94.8
202505,PLT-05,MAT-103,746,808,814,MT,100.0
202505,PLT-05,MAT-104,851,937,880,MT,93.9
202505,PLT-05,MAT-109,397,394,416,EA,100.0
202505,PLT-05,MAT-110,986,982,973,KG,99.1
202505,PLT-05,MAT-112,334,325,306,MT,94.2
202505,PLT-06,MAT-106,719,764,823,MT,100.0
202505,PLT-06,MAT-107,1026,1058,1009,KG,95.4
202505,PLT-06,MAT-108,852,805,842,KG,100.0
202505,PLT-06,MAT-111,760,703,710,MT,100.0
202505,PLT-06,MAT-112,670,649,653,MT,100.0
202506,PLT-01,MAT-102,330,360,367,MT,100.0
202506,PLT-01,MAT-104,307,302,306,MT,100.0
202506,PLT-01,MAT-105,426,455,442,MT,97.1
202506,PLT-01,MAT-106,590,558,555,MT,99.5
202506,PLT-01,MAT-109,354,395,364,EA,92.2
202506,PLT-01,MAT-110,1723,1900,1950,KG,100.0
202506,PLT-01,MAT-112,792,831,853,MT,100.0
202506,PLT-02,MAT-101,525,582,621,MT,100.0
202506,PLT-02,MAT-104,641,582,589,MT,100.0
202506,PLT-02,MAT-106,701,694,680,MT,98.0
202506,PLT-02,MAT-107,1500,1585,1499,KG,94.6
202506,PLT-02,MAT-108,998,1042,1105,KG,100.0
202506,PLT-02,MAT-109,810,868,874,EA,100.0
202506,PLT-02,MAT-112,850,788,850,MT,100.0
202506,PLT-03,MAT-102,537,483,494,MT,100.0
202506,PLT-03,MAT-105,759,840,830,MT,98.8
202506,PLT-03,MAT-106,444,418,421,MT,100.0
202506,PLT-03,MAT-108,1545,1472,1451,KG,98.6
202506,PLT-03,MAT-111,677,622,641,MT,100.0
202506,PLT-04,MAT-101,249,266,256,MT,96.2
202506,PLT-04,MAT-103,496,545,539,MT,98.9
202506,PLT-04,MAT-105,469,476,453,MT,95.2
202506,PLT-04,MAT-107,907,830,868,KG,100.0
202506,PLT-04,MAT-110,1325,1209,1262,KG,100.0
202506,PLT-05,MAT-104,291,294,292,MT,99.3
202506,PLT-05,MAT-105,758,691,662,MT,95.8
202506,PLT-05,MAT-106,856,818,865,MT,100.0
202506,PLT-05,MAT-107,767,714,692,KG,96.9
202506,PLT-05,MAT-108,630,679,675,KG,99.4
202506,PLT-05,MAT-109,368,363,358,EA,98.6
202506,PLT-05,MAT-110,1973,2039,2006,KG,98.4
202506,PLT-05,MAT-111,550,566,575,MT,100.0
202506,PLT-06,MAT-101,731,669,647,MT,96.7
202506,PLT-06,MAT-103,739,733,739,MT,100.0
202506,PLT-06,MAT-106,549,533,561,MT,100.0
202506,PLT-06,MAT-108,735,769,829,KG,100.0
202506,PLT-06,MAT-109,622,619,583,EA,94.2
202506,PLT-06,MAT-110,1653,1797,1932,KG,100.0
202506,PLT-06,MAT-112,672,604,613,MT,100.0
202507,PLT-01,MAT-102,465,444,434,MT,97.7
202507,PLT-01,MAT-104,341,345,355,MT,100.0
202507,PLT-01,MAT-105,872,885,895,MT,100.0
202507,PLT-01,MAT-106,895,846,840,MT,99.3
202507,PLT-01,MAT-107,555,558,545,KG,97.7
202507,PLT-01,MAT-109,805,831,778,EA,93.6
202507,PLT-01,MAT-110,953,925,887,KG,95.9
202507,PLT-02,MAT-102,705,726,702,MT,96.7
202507,PLT-02,MAT-106,606,647,669,MT,100.0
202507,PLT-02,MAT-107,583,628,594,KG,94.6
202507,PLT-02,MAT-108,1648,1600,1614,KG,100.0
202507,PLT-02,MAT-109,227,230,236,EA,100.0
202507,PLT-02,MAT-110,484,516,522,KG,100.0
202507,PLT-02,MAT-112,237,257,252,MT,98.1
202507,PLT-03,MAT-102,220,244,247,MT,100.0
202507,PLT-03,MAT-103,851,904,942,MT,100.0
202507,PLT-03,MAT-104,454,457,435,MT,95.2
202507,PLT-03,MAT-106,798,849,850,MT,100.0
202507,PLT-03,MAT-108,1263,1169,1254,KG,100.0
202507,PLT-03,MAT-112,592,583,565,MT,96.9
202507,PLT-04,MAT-108,1471,1590,1567,KG,98.6
202507,PLT-04,MAT-109,492,477,444,EA,93.1
202507,PLT-04,MAT-110,1406,1414,1428,KG,100.0
202507,PLT-04,MAT-111,897,945,952,MT,100.0
202507,PLT-04,MAT-112,457,467,445,MT,95.3
202507,PLT-05,MAT-101,532,503,514,MT,100.0
202507,PLT-05,MAT-102,758,830,797,MT,96.0
202507,PLT-05,MAT-103,236,260,275,MT,100.0
202507,PLT-05,MAT-108,1123,1108,1073,KG,96.8
202507,PLT-05,MAT-109,921,946,963,EA,100.0
202507,PLT-05,MAT-112,443,441,458,MT,100.0
202507,PLT-06,MAT-101,246,244,243,MT,99.6
202507,PLT-06,MAT-103,752,752,810,MT,100.0
202507,PLT-06,MAT-107,1534,1441,1450,KG,100.0
202507,PLT-06,MAT-109,721,764,765,EA,100.0
202507,PLT-06,MAT-110,1625,1487,1466,KG,98.6
202508,PLT-01,MAT-101,280,298,295,MT,99.0
202508,PLT-01,MAT-102,499,514,474,MT,92.2
202508,PLT-01,MAT-105,541,495,518,MT,100.0
202508,PLT-01,MAT-107,1949,2132,2237,KG,100.0
202508,PLT-01,MAT-108,1277,1186,1095,KG,92.3
202508,PLT-02,MAT-101,565,590,553,MT,93.7
202508,PLT-02,MAT-102,688,734,789,MT,100.0
202508,PLT-02,MAT-108,1017,1138,1095,KG,96.2
202508,PLT-02,MAT-109,751,762,820,EA,100.0
202508,PLT-02,MAT-110,1812,1874,1833,KG,97.8
202508,PLT-02,MAT-112,850,801,758,MT,94.6
202508,PLT-03,MAT-101,511,525,556,MT,100.0
202508,PLT-03,MAT-102,368,352,364,MT,100.0
202508,PLT-03,MAT-104,663,601,580,MT,96.5
202508,PLT-03,MAT-108,591,635,648,KG,100.0
202508,PLT-03,MAT-109,841,867,863,EA,99.5
202508,PLT-03,MAT-110,1010,968,994,KG,100.0
202508,PLT-03,MAT-111,731,737,714,MT,96.9
202508,PLT-04,MAT-103,705,773,817,MT,100.0
202508,PLT-04,MAT-104,528,570,536,MT,94.0
202508,PLT-04,MAT-109,269,273,292,EA,100.0
202508,PLT-04,MAT-110,1966,1841,1782,KG,96.8
202508,PLT-04,MAT-111,507,469,494,MT,100.0
202508,PLT-04,MAT-112,807,850,809,MT,95.2
202508,PLT-05,MAT-104,321,335,335,MT,100.0
202508,PLT-05,MAT-108,1828,1791,1720,KG,96.0
202508,PLT-05,MAT-109,950,973,957,EA,98.4
202508,PLT-05,MAT-110,1552,1575,1587,KG,100.0
202508,PLT-06,MAT-101,585,618,617,MT,99.8
202508,PLT-06,MAT-102,658,632,637,MT,100.0
202508,PLT-06,MAT-103,235,242,259,MT,100.0
202508,PLT-06,MAT-106,675,613,637,MT,100.0
202508,PLT-06,MAT-107,1729,1832,1978,KG,100.0
202508,PLT-06,MAT-108,980,1061,1044,KG,98.4
202508,PLT-06,MAT-109,217,199,195,EA,98.0
202508,PLT-06,MAT-110,571,520,502,KG,96.5
202508,PLT-06,MAT-111,645,605,623,MT,100.0
202508,PLT-06,MAT-112,232,234,220,MT,94.0
202509,PLT-01,MAT-101,278,290,295,MT,100.0
202509,PLT-01,MAT-105,638,665,633,MT,95.2
202509,PLT-01,MAT-106,665,614,613,MT,99.8
202509,PLT-01,MAT-107,1951,2011,1954,KG,97.2
202509,PLT-01,MAT-109,746,822,862,EA,100.0
202509,PLT-02,MAT-102,327,308,327,MT,100.0
202509,PLT-02,MAT-106,565,628,669,MT,100.0
202509,PLT-02,MAT-107,1217,1344,1284,KG,95.5
202509,PLT-02,MAT-108,1357,1384,1314,KG,94.9
202509,PLT-02,MAT-110,1354,1427,1440,KG,100.0
202509,PLT-02,MAT-111,729,775,824,MT,100.0
202509,PLT-02,MAT-112,677,631,638,MT,100.0
202509,PLT-03,MAT-101,529,521,513,MT,98.5
202509,PLT-03,MAT-103,321,311,321,MT,100.0
202509,PLT-03,MAT-105,772,731,676,MT,92.5
202509,PLT-03,MAT-107,1237,1132,1166,KG,100.0
202509,PLT-03,MAT-109,282,309,313,EA,100.0
202509,PLT-03,MAT-110,889,861,799,KG,92.8
202509,PLT-03,MAT-111,818,857,924,MT,100.0
202509,PLT-04,MAT-102,686,718,767,MT,100.0
202509,PLT-04,MAT-104,249,273,272,MT,99.6
202509,PLT-04,MAT-106,392,360,371,MT,100.0
202509,PLT-05,MAT-102,371,397,401,MT,100.0
202509,PLT-05,MAT-103,388,380,392,MT,100.0
202509,PLT-05,MAT-110,1919,1980,2118,KG,100.0
202509,PLT-05,MAT-112,550,527,545,MT,100.0
202509,PLT-06,MAT-102,697,678,679,MT,100.0
202509,PLT-06,MAT-103,476,466,432,MT,92.7
202509,PLT-06,MAT-105,619,658,628,MT,95.4
202509,PLT-06,MAT-109,687,734,687,EA,93.6
202509,PLT-06,MAT-110,1404,1275,1240,KG,97.3
202510,PLT-01,MAT-101,207,189,203,MT,100.0
202510,PLT-01,MAT-105,682,732,735,MT,100.0
202510,PLT-01,MAT-107,1290,1169,1156,KG,98.9
202510,PLT-01,MAT-108,1063,1051,1124,KG,100.0
202510,PLT-01,MAT-109,915,898,917,EA,100.0
202510,PLT-01,MAT-111,272,271,286,MT,100.0
202510,PLT-01,MAT-112,767,850,909,MT,100.0
202510,PLT-02,MAT-104,209,193,181,MT,93.8
202510,PLT-02,MAT-107,945,922,975,KG,100.0
202510,PLT-02,MAT-108,1695,1801,1781,KG,98.9
202510,PLT-02,MAT-110,1818,1901,1953,KG,100.0
202510,PLT-03,MAT-101,401,408,379,MT,92.9
202510,PLT-03,MAT-105,543,529,534,MT,100.0
202510,PLT-03,MAT-106,708,789,806,MT,100.0
202510,PLT-03,MAT-108,1860,1830,1779,KG,97.2
202510,PLT-03,MAT-110,485,504,512,KG,100.0
202510,PLT-04,MAT-101,584,598,620,MT,100.0
202510,PLT-04,MAT-102,223,211,207,MT,98.1
202510,PLT-04,MAT-103,285,257,254,MT,98.8
202510,PLT-04,MAT-106,509,537,550,MT,100.0
202510,PLT-04,MAT-108,575,571,610,KG,100.0
202510,PLT-05,MAT-101,254,275,253,MT,92.0
202510,PLT-05,MAT-102,802,741,756,MT,100.0
202510,PLT-05,MAT-104,466,488,450,MT,92.2
202510,PLT-05,MAT-105,848,842,799,MT,94.9
202510,PLT-05,MAT-106,242,236,230,MT,97.5
202510,PLT-05,MAT-107,644,707,687,KG,97.2
202510,PLT-05,MAT-108,616,675,650,KG,96.3
202510,PLT-05,MAT-111,235,246,234,MT,95.1
202510,PLT-05,MAT-112,741,790,823,MT,100.0
202510,PLT-06,MAT-101,446,444,411,MT,92.6
202510,PLT-06,MAT-103,441,490,451,MT,92.0
202510,PLT-06,MAT-104,353,365,338,MT,92.6
202510,PLT-06,MAT-105,861,864,825,MT,95.5
202510,PLT-06,MAT-106,519,542,517,MT,95.4
202510,PLT-06,MAT-109,391,376,363,EA,96.5
202510,PLT-06,MAT-110,1572,1452,1454,KG,100.0
202510,PLT-06,MAT-112,303,321,329,MT,100.0
202511,PLT-01,MAT-102,815,837,801,MT,95.7
202511,PLT-01,MAT-104,233,215,226,MT,100.0
202511,PLT-01,MAT-106,311,303,303,MT,100.0
202511,PLT-01,MAT-109,977,915,897,EA,98.0
202511,PLT-01,MAT-110,1040,1152,1086,KG,94.3
202511,PLT-01,MAT-112,625,652,601,MT,92.2
202511,PLT-02,MAT-102,302,310,323,MT,100.0
202511,PLT-02,MAT-104,586,621,613,MT,98.7
202511,PLT-02,MAT-105,316,299,302,MT,100.0
202511,PLT-02,MAT-111,827,814,789,MT,96.9
202511,PLT-03,MAT-102,200,181,190,MT,100.0
202511,PLT-03,MAT-103,710,740,753,MT,100.0
202511,PLT-03,MAT-104,414,435,422,MT,97.0
202511,PLT-03,MAT-105,320,317,333,MT,100.0
202511,PLT-03,MAT-107,1684,1730,1731,KG,100.0
202511,PLT-04,MAT-103,562,571,589,MT,100.0
202511,PLT-04,MAT-105,507,497,465,MT,93.6
202511,PLT-04,MAT-106,523,522,507,MT,97.1
202511,PLT-04,MAT-107,1377,1486,1487,KG,100.0
202511,PLT-04,MAT-109,775,748,753,EA,100.0
202511,PLT-05,MAT-101,564,601,590,MT,98.2
202511,PLT-05,MAT-102,231,234,231,MT,98.7
202511,PLT-05,MAT-103,391,392,395,MT,100.0
202511,PLT-05,MAT-105,288,276,295,MT,100.0
202511,PLT-05,MAT-106,532,578,568,MT,98.3
202511,PLT-05,MAT-107,1676,1668,1722,KG,100.0
202511,PLT-05,MAT-109,813,834,782,EA,93.8
202511,PLT-06,MAT-101,331,316,319,MT,100.0
202511,PLT-06,MAT-102,705,784,821,MT,100.0
202511,PLT-06,MAT-105,506,485,523,MT,100.0
202511,PLT-06,MAT-107,1459,1487,1568,KG,100.0
202511,PLT-06,MAT-108,1673,1629,1509,KG,92.6
202511,PLT-06,MAT-109,955,896,878,EA,98.0
202511,PLT-06,MAT-110,820,810,837,KG,100.0
202511,PLT-06,MAT-111,230,225,219,MT,97.3
202512,PLT-01,MAT-101,883,969,911,MT,94.0
202512,PLT-01,MAT-103,819,844,872,MT,100.0
202512,PLT-01,MAT-104,526,529,524,MT,99.1
202512,PLT-01,MAT-106,538,586,592,MT,100.0
202512,PLT-01,MAT-107,1980,2077,2112,KG,100.0
202512,PLT-01,MAT-108,1038,1046,1015,KG,97.0
202512,PLT-02,MAT-104,638,687,689,MT,100.0
202512,PLT-02,MAT-105,410,439,414,MT,94.3
202512,PLT-02,MAT-106,645,695,651,MT,93.7
202512,PLT-02,MAT-108,468,473,453,KG,95.8
202512,PLT-02,MAT-110,1847,2052,1993,KG,97.1
202512,PLT-02,MAT-112,715,677,693,MT,100.0
202512,PLT-03,MAT-102,306,322,342,MT,100.0
202512,PLT-03,MAT-103,442,401,393,MT,98.0
202512,PLT-03,MAT-104,615,684,632,MT,92.4
202512,PLT-03,MAT-105,519,500,525,MT,100.0
202512,PLT-03,MAT-107,1981,2114,2109,KG,99.8
202512,PLT-03,MAT-110,1158,1267,1230,KG,97.1
202512,PLT-03,MAT-112,675,729,729,MT,100.0
202512,PLT-04,MAT-101,273,266,261,MT,98.1
202512,PLT-04,MAT-103,529,534,572,MT,100.0
202512,PLT-04,MAT-104,700,776,837,MT,100.0
202512,PLT-04,MAT-107,779,753,776,KG,100.0
202512,PLT-04,MAT-108,1932,1881,1774,KG,94.3
202512,PLT-04,MAT-110,1437,1391,1417,KG,100.0
202512,PLT-04,MAT-111,800,761,761,MT,100.0
202512,PLT-05,MAT-101,557,590,573,MT,97.1
202512,PLT-05,MAT-102,748,815,865,MT,100.0
202512,PLT-05,MAT-107,512,472,460,KG,97.5
202512,PLT-05,MAT-109,606,579,550,EA,95.0
202512,PLT-05,MAT-111,361,346,354,MT,100.0
202512,PLT-06,MAT-101,705,711,719,MT,100.0
202512,PLT-06,MAT-102,892,949,892,MT,94.0
202512,PLT-06,MAT-104,380,417,437,MT,100.0
202512,PLT-06,MAT-106,736,736,767,MT,100.0
202512,PLT-06,MAT-107,1591,1433,1328,KG,92.7
202512,PLT-06,MAT-110,1156,1278,1353,KG,100.0
